name,latitude,longitude
" 2 Dorobanti ",44.454707,26.097312
" 2 Ilie Pintilie",44.451554,26.089796
" Ct Marasesti 11",44.4206301,26.1047833
" Ct Marasesti 9-10",44.4168825,26.1035795
" MT PLAVAT",44.44942855835,26.049877
"1 Alexandria",44.405420487109,26.061514776772
"1 Anexa ",44.4298755,26.1376994
"1 Aviatiei",44.480481144407,26.095073647493
"1 Banu Manta",44.455159022004,26.0756306878
"1 Berceni Oltenita",44.390700779569,26.126628591469
"1 Bis Zona I",44.386231715331,26.120579547003
"1 Bucurestii Noi",44.487646,26.038117
"1 C3/1",44.432576444788,26.164120976753
"1 C5/1",44.422963473235,26.165034386053
"1 Carei ",44.436316336103,26.161319145551
"1 Cheile Zanoagei ",44.459084933579,26.124698985992
"1 Colentina",44.452127590305,26.12367664304
"1 Colentina 3",44.467482042644,26.138744484166
"1 Colentina Socului ",44.454552129591,26.144975274346
"1 Crivina",44.454824144279,26.043615393435
"1 Călăraşi ",44.431944022885,26.133332361636
"1 Dimitrov ",44.44352,26.13114
"1 Drumul Sarii",44.419352917517,26.059991180552
"1 Fundeni ",44.465215832776,26.140920169489
"1 Giulești",44.4603136,26.0450326
"1 Giurgiu",44.3925916653,26.092301441168
"1 Hatisului",44.445341554123,26.169759214288
"1 Iancului ",44.443045,26.146751
"1 Ilie Pintilie",44.452955,26.091503
"1 Labirint ",44.431054647361,26.118135816644
"1 Laborator",44.418128188483,26.133589904404
"1 Matei Ambrozie",44.411839591958,26.147422392758
"1 Mosilor ",44.44468378857,26.121203416571
"1 Mărăşeşti ",44.423412919384,26.121202279845
"1 Nicolae Pascu",44.408993138513,26.141831999525
"1 Nitu Vasile",44.389940769358,26.116981477426
"1 Nufarul",44.424850872174,26.166077592891
"1 Oltenita Nord",44.392483164384,26.129055642038
"1 Oltenita Placare ",44.396287408723,26.112497292729
"1 Panduri ",44.423743263416,26.071555777041
"1 Petre Ispirescu",44.412716,26.068455
"1 Rahova",44.412972402048,26.071761534219
"1 Republicii",44.441710614965,26.13070950374
"1 Roșu",44.43783,26.00627
"1 Salaj",44.409725099236,26.075109562074
"1 Serban Voda",44.411041346985,26.098865614202
"1 Socului ",44.438338311125,26.160771703201
"1 Stoian Militaru",44.399987462908,26.098421911171
"1 Sălaj",44.409725099236,26.075109562074
"1 Teiul Doamnei ",44.4598865995,26.127756636853
"1 Tineretului",44.412415871448,26.110004686011
"1 Titulescu",44.452098,26.070794
"1 Tomis ",44.417572959814,26.142784639426
"1 Turda",44.460831279839,26.070118076364
"1 Uverturii",44.437333766834,26.039619252277
"1 Vacaresti",44.406562899734,26.120041334401
"1 Veteranilor",44.43627373843,26.03262811854
"1 Virtuții",44.437685374078,26.033021468157
"1 Vitan",44.410246153624,26.139067951241
"1 Zona I",44.386471,26.119855
"1 Zona II",44.38079632111,26.111328898883
"1 Zona IV",44.381342962667,26.102071038049
"1 Zona V",44.3866762,26.1056431
"1 din 13 Septembrie",44.424901860922,26.075102595166
"1 Îndesirii",44.435356266626,26.009650745456
"1 Șulea Nord",44.417574523119,26.148635745529
"1/1",44.42696762085,26.051141
"1/10",44.419097900391,26.04747
"1/7",44.42126754175,26.023064755533
"1/7'",44.41661256,26.0277227
"1/8",44.422069819518,26.038736567864
"10 Aragonitului",44.440230831727,26.018854271853
"10 Bucurestii Noi",44.485008,26.040687
"10 C5/2",44.413851847201,26.179507746862
"10 Giulești",44.4579871,26.0512152
"10 Laborator",44.418413007795,26.137769859583
"10 Liniei",44.429674878808,26.009597261515
"10 Margeanului",44.413420211315,26.062189931329
"10 Matei Ambrozie",44.415968337742,26.15489129189
"10 Nefamilisti",44.423988948948,26.17879244553
"10 Pantelimon ",44.439970758232,26.175389836374
"10 Vitan",44.417327288397,26.126259911503
"10-1 Mai",44.457328,26.077704
"10-22 Duca",44.448786,26.077618
"10/4",44.422454302808,26.019228454795
"103A",44.430967,26.091934
"11 C5/2",44.413925793017,26.177264921577
"11 Dorobanti",44.448236,26.099704
"11 Foișor",44.418630166332,26.122753704537
"11 Giurgiu",44.3909303,26.092184
"11 Laborator ",44.417523116508,26.139666312047
"11 Liniei",44.430284354822,26.014993733884
"11 Margeanului",44.413174,26.065173
