incident_id,estimated_restore,first_seen_ts,last_seen_ts
9759dfc51f58,2022-12-01T23:30,2022-12-01T00:00:02,2022-12-01T07:00:01
f00b93ee0e7b,2022-12-01T10:00,2022-12-01T01:00:01,2022-12-01T10:00:01
f00b93ee0e7b,2022-12-01T23:30,2022-12-01T11:00:01,2022-12-01T11:00:01
991364caf415,2022-12-01T10:00,2022-12-01T01:00:01,2022-12-01T10:00:01
991364caf415,2022-12-01T23:30,2022-12-01T11:00:01,2022-12-01T22:00:01
991364caf415,2022-12-02T10:00,2022-12-02T01:00:01,2022-12-02T01:00:01
7bcf0b25994c,2022-12-01T12:00,2022-12-01T07:00:01,2022-12-01T10:00:01
323330fe74d5,2022-12-01T10:00,2022-12-01T07:00:01,2022-12-01T07:00:01
59737d646495,2022-12-01T10:00,2022-12-01T07:00:01,2022-12-01T10:00:01
2a1fe4aac8a9,2022-12-01T10:00,2022-12-01T07:00:01,2022-12-01T10:00:01
2a1fe4aac8a9,2022-12-01T23:30,2022-12-01T11:00:01,2022-12-01T11:00:01
b3ac52af1557,2022-12-01T10:00,2022-12-01T07:00:01,2022-12-01T10:00:01
b3ac52af1557,2022-12-01T23:30,2022-12-01T11:00:01,2022-12-01T17:00:01
209598f7d2b9,2022-12-01T10:00,2022-12-01T07:00:01,2022-12-01T10:00:01
209598f7d2b9,2022-12-01T23:30,2022-12-01T11:00:01,2022-12-01T17:00:01
1fa4e95d595e,2022-12-01T23:30,2022-12-01T07:00:01,2022-12-01T19:00:01
3ec0b77f6f0d,2022-12-01T23:30,2022-12-01T07:00:01,2022-12-01T07:00:01
22fddd30a001,2022-12-01T23:30,2022-12-01T07:00:01,2022-12-01T19:00:01
2ce8eb6b601f,2022-12-01T08:00,2022-12-01T07:00:01,2022-12-01T09:00:01
2ce8eb6b601f,2022-12-01T23:00,2022-12-01T10:00:01,2022-12-01T15:00:01
eb6c5a7d0b1a,2022-12-01T08:00,2022-12-01T07:00:01,2022-12-01T09:00:01
eb6c5a7d0b1a,2022-12-01T23:00,2022-12-01T10:00:01,2022-12-01T18:00:01
1a95c9f3b0b7,2022-12-01T08:00,2022-12-01T07:00:01,2022-12-01T09:00:01
1a95c9f3b0b7,2022-12-01T23:00,2022-12-01T10:00:01,2022-12-01T22:00:01
1a95c9f3b0b7,2022-12-02T10:00,2022-12-02T01:00:01,2022-12-02T01:00:01
949dd47beeb7,2022-12-01T08:00,2022-12-01T07:00:01,2022-12-01T09:00:01
949dd47beeb7,2022-12-01T23:00,2022-12-01T10:00:01,2022-12-01T18:00:01
cc255d1798c4,2022-12-01T10:00,2022-12-01T07:00:01,2022-12-01T10:00:01
cc255d1798c4,2022-12-01T23:30,2022-12-01T11:00:01,2022-12-01T22:00:01
cc255d1798c4,2022-12-02T10:00,2022-12-02T01:00:01,2022-12-02T08:00:01
cc255d1798c4,2022-12-02T23:30,2022-12-02T09:00:01,2022-12-02T23:00:01
cc255d1798c4,2022-12-03T10:00,2022-12-03T00:00:01,2022-12-03T06:00:01
cc255d1798c4,2022-12-03T23:30,2022-12-03T10:00:01,2022-12-03T23:00:01
cc255d1798c4,2022-12-04T10:00,2022-12-04T00:00:01,2022-12-04T07:00:01
cc255d1798c4,2022-12-04T23:30,2022-12-04T09:00:01,2022-12-04T11:00:01
6731aefd5db8,2022-12-01T10:00,2022-12-01T07:00:01,2022-12-01T10:00:01
6731aefd5db8,2022-12-01T23:30,2022-12-01T11:00:01,2022-12-01T22:00:01
fd9f3b9e8c9b,2022-12-01T10:00,2022-12-01T07:00:01,2022-12-01T10:00:01
fd9f3b9e8c9b,2022-12-01T23:30,2022-12-01T11:00:01,2022-12-01T22:00:01
fd9f3b9e8c9b,2022-12-02T10:00,2022-12-02T01:00:01,2022-12-02T08:00:01
fd9f3b9e8c9b,2022-12-02T23:30,2022-12-02T09:00:01,2022-12-02T23:00:01
fd9f3b9e8c9b,2022-12-03T10:00,2022-12-03T00:00:01,2022-12-03T06:00:01
fd9f3b9e8c9b,2022-12-03T23:30,2022-12-03T10:00:01,2022-12-03T23:00:01
