incident_id,estimated_restore,first_seen_ts,last_seen_ts
3acf79e14815,2022-09-01T23:30,2022-09-01T00:00:01,2022-09-01T12:00:01
c0fe8d1dcbd3,2022-09-01T17:00,2022-09-01T08:00:01,2022-09-01T16:00:01
c0fe8d1dcbd3,2022-09-01T17:30,2022-09-01T17:00:01,2022-09-01T17:00:01
d353501cd6ff,2022-09-01T12:00,2022-09-01T09:00:01,2022-09-01T11:00:01
71aff0c4eb27,2022-09-01T12:00,2022-09-01T09:00:01,2022-09-01T11:00:01
b5be035f5461,2022-09-01T15:00,2022-09-01T09:00:01,2022-09-01T15:00:01
06514c35a7d7,2022-09-01T14:00,2022-09-01T09:00:01,2022-09-01T13:00:01
69b88ba26f70,2022-09-01T14:00,2022-09-01T09:00:01,2022-09-01T13:00:01
15ba81a8a1f3,2022-09-01T14:00,2022-09-01T10:00:01,2022-09-01T12:00:01
e0250baee7fa,2022-09-01T13:00,2022-09-01T10:00:01,2022-09-01T12:00:01
01a450cdff52,2022-09-01T23:30,2022-09-01T10:00:01,2022-09-01T19:00:01
5ea6a590eb5e,2022-09-01T12:00,2022-09-01T10:00:01,2022-09-01T11:00:01
098f6fcc8bb3,2022-09-02T10:00,2022-09-01T10:00:01,2022-09-02T10:00:01
773797106ab2,2022-09-02T10:00,2022-09-01T10:00:01,2022-09-02T10:00:01
05081008f31c,2022-09-02T10:00,2022-09-01T10:00:01,2022-09-02T10:00:01
bfbf4cc6d1c4,2022-09-02T10:00,2022-09-01T10:00:01,2022-09-02T10:00:01
d29cb3516e23,2022-09-02T10:00,2022-09-01T10:00:01,2022-09-02T10:00:01
d29cb3516e23,2022-09-03T10:00,2022-09-02T11:00:01,2022-09-02T23:00:02
bd1666c240c8,2022-09-02T10:00,2022-09-01T10:00:01,2022-09-02T10:00:01
ac00154272bc,2022-09-02T10:00,2022-09-01T10:00:01,2022-09-02T10:00:01
7bf50b17ea89,2022-09-02T10:00,2022-09-01T10:00:01,2022-09-02T10:00:01
7bf50b17ea89,2022-09-03T10:00,2022-09-02T11:00:01,2022-09-02T23:00:02
62f99c6253a0,2022-09-02T10:00,2022-09-01T10:00:01,2022-09-02T10:00:01
d96b4fd40201,2022-09-02T10:00,2022-09-01T10:00:01,2022-09-02T10:00:01
5fcd3c40c815,2022-09-02T10:00,2022-09-01T10:00:01,2022-09-02T10:00:01
00a51cf18d61,2022-09-01T12:00,2022-09-01T10:00:01,2022-09-01T12:00:01
9f20bd6d84a5,2022-09-01T23:30,2022-09-01T10:00:01,2022-09-01T18:00:01
9f20bd6d84a5,2022-09-02T23:30,2022-09-01T19:00:01,2022-09-02T20:00:01
9f20bd6d84a5,2022-09-03T01:30,2022-09-02T23:00:02,2022-09-03T02:00:01
9e4974c3559e,2022-09-01T23:30,2022-09-01T10:00:01,2022-09-01T18:00:01
9e4974c3559e,2022-09-02T23:30,2022-09-01T19:00:01,2022-09-02T20:00:01
9e4974c3559e,2022-09-03T01:30,2022-09-02T23:00:02,2022-09-03T02:00:01
9f9931f390db,2022-09-01T23:30,2022-09-01T10:00:01,2022-09-01T18:00:01
9f9931f390db,2022-09-02T23:30,2022-09-01T19:00:01,2022-09-02T20:00:01
9f9931f390db,2022-09-03T01:30,2022-09-02T23:00:02,2022-09-03T02:00:01
25d4b5b36cef,2022-09-01T23:30,2022-09-01T10:00:01,2022-09-01T18:00:01
1b1909b3c939,2022-09-01T19:30,2022-09-01T10:00:01,2022-09-01T16:00:01
c179d7b2c8bb,2022-09-01T12:00,2022-09-01T11:00:01,2022-09-01T11:00:01
f4bede734d63,2022-09-01T18:00,2022-09-01T11:00:01,2022-09-01T15:00:01
e9ecd57d142e,2022-09-03T09:00,2022-09-01T11:00:01,2022-09-02T18:00:01
39ff66fc4819,2022-09-01T15:30,2022-09-01T11:00:01,2022-09-01T12:00:01
39ff66fc4819,2022-09-01T17:30,2022-09-01T13:00:01,2022-09-01T13:00:01
b01b297827ff,2022-09-02T23:30,2022-09-01T12:00:01,2022-09-02T20:00:01
8099077a3c4c,2022-09-02T23:30,2022-09-01T12:00:01,2022-09-02T20:00:01
d07d2bd47cfc,2022-09-02T23:30,2022-09-01T12:00:01,2022-09-02T20:00:01
33bf62f35498,2022-09-02T23:30,2022-09-01T12:00:01,2022-09-02T20:00:01
caf8ced42436,2022-09-02T23:30,2022-09-01T12:00:01,2022-09-02T20:00:01
4e2dbde600c2,2022-09-02T23:30,2022-09-01T12:00:01,2022-09-02T20:00:01
d02e9fc099a0,2022-09-01T13:00,2022-09-01T12:00:01,2022-09-01T13:00:01
30cae42bd570,2022-09-02T23:30,2022-09-01T14:00:01,2022-09-02T23:00:02
