incident_id,estimated_restore,first_seen_ts,last_seen_ts
b185b77e621e,2023-10-01T23:00,2023-10-01T15:00:01,2023-10-01T21:00:01
057805a8590f,2023-10-01T23:00,2023-10-01T15:00:01,2023-10-01T21:00:01
561d0adbe1c3,2023-10-01T23:00,2023-10-01T15:00:01,2023-10-01T21:00:01
2df6d78ddb68,2023-10-01T23:00,2023-10-01T15:00:01,2023-10-01T21:00:01
ef892e0832db,2023-10-01T23:00,2023-10-01T15:00:01,2023-10-01T21:00:01
51a96095cb47,2023-10-01T23:00,2023-10-01T15:00:01,2023-10-01T21:00:01
3bbf695642d8,2023-10-01T23:00,2023-10-01T15:00:01,2023-10-01T21:00:01
e7205f1de9aa,2023-10-01T23:00,2023-10-01T15:00:01,2023-10-01T21:00:01
0d08498e8f03,2023-10-01T23:00,2023-10-01T15:00:01,2023-10-01T18:00:01
70baeede9253,2023-10-01T23:00,2023-10-01T16:00:02,2023-10-01T21:00:01
00472cc69fb8,2023-10-01T23:00,2023-10-01T16:00:02,2023-10-01T21:00:01
c23e60d58ac3,2023-10-01T23:00,2023-10-01T16:00:02,2023-10-01T21:00:01
1165727f5e92,2023-10-01T23:00,2023-10-01T17:00:01,2023-10-01T21:00:01
2ab91788e395,2023-10-01T23:00,2023-10-01T17:00:01,2023-10-01T21:00:01
8e0d5622f7a8,2023-10-01T23:00,2023-10-01T17:00:01,2023-10-01T21:00:01
91953ebd4edf,2023-10-01T23:00,2023-10-01T17:00:01,2023-10-01T21:00:01
d61c928f6856,2023-10-01T23:00,2023-10-01T17:00:01,2023-10-01T21:00:01
478edf9f7dd8,2023-10-01T23:00,2023-10-01T17:00:01,2023-10-01T21:00:01
c49dba4c0da0,2023-10-01T23:00,2023-10-01T17:00:01,2023-10-01T21:00:01
1d25d936697e,2023-10-01T23:00,2023-10-01T18:00:01,2023-10-01T21:00:01
07d2743dfe9f,2023-10-01T23:00,2023-10-01T18:00:01,2023-10-01T21:00:01
2129f0081893,2023-10-01T23:00,2023-10-01T20:00:01,2023-10-01T21:00:01
3913833b62b1,2023-10-01T23:00,2023-10-01T20:00:01,2023-10-01T21:00:01
bb0fca9dab2e,2023-10-01T23:00,2023-10-01T21:00:01,2023-10-01T21:00:01
5251ff0f7b21,2023-10-01T23:00,2023-10-01T21:00:01,2023-10-01T21:00:01
c190de14a2f5,2023-10-01T23:00,2023-10-01T21:00:01,2023-10-01T21:00:01
ed37fb3bf2b4,2023-10-01T23:00,2023-10-01T21:00:01,2023-10-01T21:00:01
c4d8bfb046ac,2023-10-01T23:00,2023-10-01T21:00:01,2023-10-01T21:00:01
f4393736dfb2,2023-10-01T23:00,2023-10-01T21:00:01,2023-10-01T21:00:01
792c1f03e712,2023-10-01T23:00,2023-10-01T21:00:01,2023-10-01T21:00:01
c711350184c1,2023-10-01T23:00,2023-10-01T21:00:01,2023-10-01T21:00:01
f6e71a5ea38a,2023-10-01T23:00,2023-10-01T21:00:01,2023-10-01T21:00:01
4e2e069be7d3,2023-10-01T23:00,2023-10-01T21:00:01,2023-10-01T21:00:01
ca2b3d0330bf,2023-10-01T23:00,2023-10-01T21:00:01,2023-10-01T21:00:01
c9841564a41e,2023-10-01T23:00,2023-10-01T21:00:01,2023-10-01T21:00:01
6f66fa3ca278,2023-10-01T23:00,2023-10-01T21:00:01,2023-10-01T21:00:01
ee4f423c0249,2023-10-02T15:30,2023-10-02T09:00:01,2023-10-02T16:00:01
2456ad0e0a85,2023-10-02T14:00,2023-10-02T09:00:01,2023-10-02T14:00:02
484df051c700,2023-10-02T14:00,2023-10-02T09:00:01,2023-10-02T12:00:01
e5748ae1b353,2023-10-02T12:30,2023-10-02T09:00:01,2023-10-02T11:00:01
7f2507521b87,2023-10-02T12:00,2023-10-02T09:00:01,2023-10-02T12:00:01
aa2968945eb9,2023-10-02T11:00,2023-10-02T09:00:01,2023-10-02T11:00:01
f4b00d7640dc,2023-10-02T12:30,2023-10-02T09:00:01,2023-10-02T11:00:01
55e280ee3dcd,2023-10-02T13:30,2023-10-02T09:00:01,2023-10-02T13:00:01
55e280ee3dcd,2023-10-02T15:30,2023-10-02T14:00:02,2023-10-02T15:00:01
5fcc93bb946c,2023-10-02T14:30,2023-10-02T09:00:01,2023-10-02T13:00:01
d1e53d58438d,2023-10-02T15:00,2023-10-02T10:00:01,2023-10-02T12:00:01
eed79928c892,2023-10-02T14:30,2023-10-02T10:00:01,2023-10-02T14:00:02
0f8136205201,2023-10-02T18:30,2023-10-02T10:00:01,2023-10-02T19:00:01
f7cd824fef84,2023-10-02T13:30,2023-10-02T10:00:01,2023-10-02T11:00:01
e3bf0698d246,2023-10-02T15:00,2023-10-02T10:00:01,2023-10-02T12:00:01
fda339f8f976,2023-10-07T23:00,2023-10-02T10:00:01,2023-10-06T17:00:01
ffb0989ac277,2023-10-07T23:00,2023-10-02T10:00:01,2023-10-06T17:00:01
8cd1ced03430,2023-10-07T23:00,2023-10-02T10:00:01,2023-10-06T17:00:01
24480b866e69,2023-10-07T23:00,2023-10-02T10:00:01,2023-10-06T17:00:01
68f11ca37ccf,2023-10-07T23:00,2023-10-02T10:00:01,2023-10-06T17:00:01
2cc83057136a,2023-10-07T23:00,2023-10-02T10:00:01,2023-10-06T17:00:01
f802f0222c3a,2023-10-07T23:00,2023-10-02T10:00:01,2023-10-06T17:00:01
06b9185a70b0,2023-10-07T23:00,2023-10-02T10:00:01,2023-10-06T17:00:01
9d2ce14655e1,2023-10-07T23:00,2023-10-02T10:00:01,2023-10-06T17:00:01
4084550d22ad,2023-10-04T23:30,2023-10-02T10:00:01,2023-10-03T07:00:01
4084550d22ad,2023-10-05T10:00,2023-10-03T08:00:01,2023-10-05T08:00:01
4084550d22ad,2023-10-06T12:00,2023-10-05T09:00:01,2023-10-06T01:00:01
574d7425a687,2023-10-04T23:30,2023-10-02T10:00:01,2023-10-03T07:00:01
574d7425a687,2023-10-05T10:00,2023-10-03T08:00:01,2023-10-05T08:00:01
574d7425a687,2023-10-06T12:00,2023-10-05T09:00:01,2023-10-06T01:00:01
debaa5ab0ca1,2023-10-04T23:30,2023-10-02T10:00:01,2023-10-03T07:00:01
debaa5ab0ca1,2023-10-05T10:00,2023-10-03T08:00:01,2023-10-05T08:00:01
debaa5ab0ca1,2023-10-06T12:00,2023-10-05T09:00:01,2023-10-06T01:00:01
14b3679858ad,2023-10-02T15:30,2023-10-02T10:00:01,2023-10-02T15:00:01
14b3679858ad,2023-10-02T17:30,2023-10-02T16:00:01,2023-10-02T16:00:01
bcda9986c8c3,2023-10-02T15:00,2023-10-02T10:00:01,2023-10-02T12:00:01
f2b2333bd45a,2023-10-02T15:30,2023-10-02T10:00:01,2023-10-02T13:00:01
81e1e21334dd,2023-10-02T20:30,2023-10-02T11:00:01,2023-10-02T16:00:01
ba541df1aac5,2023-10-02T20:30,2023-10-02T11:00:01,2023-10-02T16:00:01
bce6b79cf9b5,2023-10-02T15:30,2023-10-02T11:00:01,2023-10-02T14:00:02
e73a01015091,2023-10-02T15:30,2023-10-02T11:00:01,2023-10-02T15:00:01
ef1c6be49957,2023-10-02T13:00,2023-10-02T11:00:01,2023-10-02T13:00:01
fba811b37104,2023-10-04T23:30,2023-10-02T11:00:01,2023-10-03T18:00:01
2d779ae3f204,2023-10-03T09:00,2023-10-02T11:00:01,2023-10-02T14:00:02
9b4f0a77cf5f,2023-10-03T23:30,2023-10-02T11:00:01,2023-10-03T18:00:01
9b4f0a77cf5f,2023-10-04T23:30,2023-10-03T20:00:01,2023-10-04T19:00:01
5a18dbaac6bf,2023-10-03T23:30,2023-10-02T11:00:01,2023-10-03T18:00:01
5a18dbaac6bf,2023-10-04T23:30,2023-10-03T20:00:01,2023-10-04T19:00:01
b9d6feccd003,2023-10-03T23:30,2023-10-02T11:00:01,2023-10-03T18:00:01
b9d6feccd003,2023-10-04T23:30,2023-10-03T20:00:01,2023-10-04T22:00:01
c34523d5fa2a,2023-10-03T23:30,2023-10-02T11:00:01,2023-10-03T18:00:01
c34523d5fa2a,2023-10-04T23:30,2023-10-03T20:00:01,2023-10-04T19:00:01
468012338bb9,2023-10-03T23:30,2023-10-02T12:00:01,2023-10-03T08:00:01
468012338bb9,2023-10-04T23:30,2023-10-03T09:00:01,2023-10-04T17:00:01
468012338bb9,2023-10-05T11:00,2023-10-04T18:00:01,2023-10-05T10:00:01
468012338bb9,2023-10-05T16:00,2023-10-05T11:00:01,2023-10-05T15:00:01
e32196200485,2023-10-03T23:30,2023-10-02T12:00:01,2023-10-03T08:00:01
e32196200485,2023-10-04T23:30,2023-10-03T09:00:01,2023-10-03T18:00:01
