incident_id,sector,pt_name,service,first_seen_ts,last_seen_ts,first_absent_ts,snapshots_present
0cb51612604a,2,1 Colentina,Deficienta ACC,2022-04-01T09:00:01,2022-04-01T16:00:01,2022-04-01T17:00:01,7
5c888deac7d8,2,Judetului,Deficienta ACC,2022-04-01T09:00:01,2022-04-01T14:00:01,2022-04-01T16:00:01,6
d3646e7305e6,2,Opanez,Deficienta ACC,2022-04-01T09:00:01,2022-04-01T16:00:01,2022-04-01T17:00:01,7
48d7e94e8aa6,2,3 Stefan cel Mare,Deficienta ACC,2022-04-01T09:00:01,2022-04-01T14:00:01,2022-04-01T16:00:01,6
700d8b7bf6f8,2,13 Lacul Tei,Deficienta ACC,2022-04-01T09:00:01,2022-04-01T16:00:01,2022-04-01T17:00:01,7
9d5d69a358a1,2,Luncsoara,Deficienta ACC,2022-04-01T09:00:01,2022-04-01T16:00:01,2022-04-01T17:00:01,7
9aec0e0f98e0,2,Galvani Tei,Deficienta ACC,2022-04-01T09:00:01,2022-04-01T16:00:01,2022-04-01T17:00:01,7
37d50c675c82,3,13 C5/2,Oprire ACC/INC,2022-04-01T09:00:01,2022-04-01T11:00:01,2022-04-01T12:00:01,3
afdc962f8bdb,1,6 Aviatiei,Oprire ACC,2022-04-01T10:00:01,2022-04-01T11:00:01,2022-04-01T12:00:01,2
50c917a628fe,3,2 Tomis,Oprire ACC,2022-04-01T10:00:01,2022-04-01T12:00:01,2022-04-01T13:00:01,3
6dc9a3e81b05,3,2Stejarului,Oprire ACC,2022-04-01T10:00:01,2022-04-01T13:00:01,2022-04-01T14:00:01,4
d8fafb65ca7b,3,16 C5/2 - Partial,Oprire ACC,2022-04-01T10:00:01,2022-04-01T12:00:01,2022-04-01T13:00:01,3
28d10c97fffe,3,8X,Oprire ACC,2022-04-01T10:00:01,2022-04-01T13:00:01,2022-04-01T14:00:01,4
6c12fa0ec650,5,1 Alexandria,Oprire ACC,2022-04-01T10:00:01,2022-04-01T17:00:01,2022-04-01T19:00:01,7
894953587f6b,2,P7 Foisor,Oprire ACC,2022-04-01T11:00:01,2022-04-01T14:00:01,2022-04-01T16:00:01,4
69454b1d4c26,2,P7A Foisor,Oprire ACC,2022-04-01T11:00:01,2022-04-01T14:00:01,2022-04-01T16:00:01,4
498be9ef9f17,3,F6,Oprire ACC,2022-04-01T11:00:01,2022-04-01T11:00:01,2022-04-01T12:00:01,1
d7f0e9f9a379,6,1 Giulești,Oprire ACC/INC,2022-04-01T11:00:01,2022-04-01T21:00:01,2022-04-01T22:00:01,8
