incident_id,sector,pt_name,service,first_seen_ts,last_seen_ts,first_absent_ts,snapshots_present
eae584f9c64e,5,MFA Panduri,Deficienta ACC,2023-05-01T12:00:01,2023-05-01T17:00:01,2023-05-01T18:00:01,4
1f7cc7af1dc1,5,2 Panduri,Deficienta ACC,2023-05-01T12:00:01,2023-05-01T17:00:01,2023-05-01T18:00:01,4
01099393d52e,6,8 Ghirlandei,Deficienta ACC,2023-05-01T12:00:01,2023-05-02T01:00:01,2023-05-02T07:00:01,10
70d5ad403743,6,5 Desișului,Deficienta ACC,2023-05-01T12:00:01,2023-05-02T01:00:01,2023-05-02T07:00:01,10
8c39705707a5,6,SC 4/5,Deficienta ACC,2023-05-01T12:00:01,2023-05-02T01:00:01,2023-05-02T07:00:01,10
fbbc50b85764,6,4 Roșia Montană,Deficienta ACC,2023-05-01T12:00:01,2023-05-02T01:00:01,2023-05-02T07:00:01,10
39e3f32b7d17,6,6 Roșia Montană,Deficienta ACC,2023-05-01T12:00:01,2023-05-02T00:00:01,2023-05-02T01:00:01,9
01e97fb0771f,6,SC 1/3,Deficienta ACC,2023-05-01T12:00:01,2023-05-01T23:00:01,2023-05-02T00:00:01,8
4294cff641a0,6,SC 5/2,Deficienta ACC,2023-05-01T12:00:01,2023-05-01T23:00:01,2023-05-02T00:00:01,8
912cd186733c,6,SC 2/3,Deficienta ACC,2023-05-01T12:00:01,2023-05-01T23:00:01,2023-05-02T00:00:01,8
04c2ff0cd84d,2,2 Voiniceni,Deficienta ACC,2023-05-01T14:00:01,2023-05-01T14:00:01,2023-05-01T16:00:01,1
76c425a061a3,2,3 Socului,Deficienta ACC,2023-05-01T14:00:01,2023-05-01T14:00:01,2023-05-01T16:00:01,1
e353f9ea92f7,2,2 Voiniceni,Deficienta ACC,2023-05-01T20:00:01,2023-05-01T23:00:01,2023-05-02T00:00:01,3
208aa0acaf1d,2,5 Pantelimon,Deficienta ACC,2023-05-01T20:00:01,2023-05-01T23:00:01,2023-05-02T00:00:01,3
dca3db3c1aeb,2,6 Pantelimon,Deficienta ACC,2023-05-01T20:00:01,2023-05-01T23:00:01,2023-05-02T00:00:01,3
f30c9ea9f22f,2,7 Pantelimon,Deficienta ACC,2023-05-01T20:00:01,2023-05-01T23:00:01,2023-05-02T00:00:01,3
cc79929c0f08,2,1 Socului,Deficienta ACC,2023-05-01T20:00:01,2023-05-01T23:00:01,2023-05-02T00:00:01,3
b4cfef3af518,2,P16 Mihai Bravu,Deficienta ACC,2023-05-01T20:00:01,2023-05-01T23:00:01,2023-05-02T00:00:01,3
af627bafb09f,2,19 Pantelimon,Deficienta ACC,2023-05-01T20:00:01,2023-05-01T23:00:01,2023-05-02T00:00:01,3
678f33def800,2,5 Socului,Deficienta ACC,2023-05-01T20:00:01,2023-05-01T23:00:01,2023-05-02T00:00:01,3
3df182ed94f3,2,1 Hatisului,Deficienta ACC,2023-05-01T20:00:01,2023-05-01T23:00:01,2023-05-02T00:00:01,3
8aa206e8752e,2,Ilarie Chendi,Deficienta ACC,2023-05-01T20:00:01,2023-05-01T23:00:01,2023-05-02T00:00:01,3
4042531de438,2,4' Pantelimon,Deficienta ACC,2023-05-01T20:00:01,2023-05-01T23:00:01,2023-05-02T00:00:01,3
31f7c6158762,6,MILITARI - 3 Placare,Deficienta ACC,2023-05-01T20:00:01,2023-05-02T00:00:01,2023-05-02T01:00:01,4
8699df2a6ee5,6,3 Dreptății,Deficienta ACC,2023-05-01T20:00:01,2023-05-02T01:00:01,2023-05-02T07:00:01,5
0e83929d68c5,6,12 Liniei,Deficienta ACC,2023-05-01T20:00:01,2023-05-02T01:00:01,2023-05-02T07:00:01,5
330042d6b68b,6,MILITARI - 4 Placare,Deficienta ACC,2023-05-01T20:00:01,2023-05-02T00:00:01,2023-05-02T01:00:01,4
9499d913c4d1,6,MILITARI - 3A Placare,Deficienta ACC,2023-05-01T20:00:01,2023-05-02T00:00:01,2023-05-02T01:00:01,4
6835ce0da3ce,6,7 Lavandei,Deficienta ACC,2023-05-01T20:00:01,2023-05-02T01:00:01,2023-05-02T07:00:01,5
17d07e3969c5,2,18 Pantelimon,Deficienta ACC,2023-05-01T22:00:01,2023-05-01T23:00:01,2023-05-02T00:00:01,2
5bf7a1a2e379,2,20 Pantelimon,Deficienta ACC,2023-05-01T22:00:01,2023-05-01T23:00:01,2023-05-02T00:00:01,2
76ddf22047c6,2,3 Socului,Deficienta ACC,2023-05-01T22:00:01,2023-05-01T23:00:01,2023-05-02T00:00:01,2
2e0b1893085d,6,10/4,Deficienta ACC,2023-05-01T23:00:01,2023-05-01T23:00:01,2023-05-02T00:00:01,1
743848827fab,6,13/4,Deficienta ACC,2023-05-01T23:00:01,2023-05-01T23:00:01,2023-05-02T00:00:01,1
df13acf456d9,6,12/4,Deficienta ACC,2023-05-01T23:00:01,2023-05-01T23:00:01,2023-05-02T00:00:01,1
3327bc0649fb,6,11/4,Deficienta ACC,2023-05-01T23:00:01,2023-05-01T23:00:01,2023-05-02T00:00:01,1
ab0d3817a063,4,Izvorul Cosbuc,Deficienta ACC,2023-05-02T07:00:01,2023-05-03T00:00:01,2023-05-03T01:00:01,17
ba9188ad9d66,5,MFA Panduri,Deficienta ACC,2023-05-02T07:00:01,2023-05-02T16:00:02,2023-05-02T17:00:01,10
7900d390b68b,2,5 Pantelimon,Deficienta ACC,2023-05-02T08:00:01,2023-05-02T08:00:01,2023-05-02T09:00:01,1
b477186755d7,2,Ilarie Chendi,Deficienta ACC,2023-05-02T08:00:01,2023-05-02T09:00:01,2023-05-02T10:00:02,2
b4544687a367,6,PLAVAT,Deficienta ACC,2023-05-02T08:00:01,2023-05-03T02:00:01,2023-05-03T07:00:01,18
d6eb3d281226,6,5 Desișului,Deficienta ACC,2023-05-02T08:00:01,2023-05-02T12:00:01,2023-05-02T13:00:02,5
c781a67fb125,6,6 Roșia Montană,Deficienta ACC,2023-05-02T08:00:01,2023-05-02T10:00:02,2023-05-02T11:00:01,3
dc211abcfc84,6,5 Virtuții,Deficienta ACC,2023-05-02T08:00:01,2023-05-02T12:00:01,2023-05-02T13:00:02,5
442363cbca4a,1,1 Aviatiei,Oprire ACC,2023-05-02T09:00:01,2023-05-06T05:00:01,2023-05-06T07:00:01,72
70d2772f816b,1,4 Aviatiei,Oprire ACC,2023-05-02T09:00:01,2023-05-06T05:00:01,2023-05-06T07:00:01,72
a2a7a625c6cb,1,3 Aviatiei,Oprire ACC,2023-05-02T09:00:01,2023-05-06T05:00:01,2023-05-06T07:00:01,72
cc57ace29c9e,1,2 Aviatiei,Oprire ACC,2023-05-02T09:00:01,2023-05-06T05:00:01,2023-05-06T07:00:01,72
b93d4c1c37eb,1,6 Aviatiei,Oprire ACC,2023-05-02T09:00:01,2023-05-06T05:00:01,2023-05-06T07:00:01,72
