incident_id,sector,pt_name,service,first_seen_ts,last_seen_ts,first_absent_ts,snapshots_present
e65ff1d406f5,2,4' Pantelimon,Oprire ACC/INC,2023-03-01T08:00:01,2023-03-01T20:00:01,2023-03-01T21:00:01,13
96dedb523515,4,B 3 Cauzasi,Deficienta INC,2023-03-01T08:00:01,2023-03-01T23:00:01,2023-03-02T00:00:01,15
b61ca2744f55,1,2 Banu Manta,Oprire ACC,2023-03-01T09:00:01,2023-03-01T12:00:01,2023-03-01T13:00:01,4
01b6b9f30866,1,2’-1 Mai - Partial,Oprire ACC,2023-03-01T09:00:01,2023-03-01T13:00:01,2023-03-01T14:00:01,5
8e59dbb88d3c,4,Saboani,Oprire ACC,2023-03-01T09:00:01,2023-03-01T12:00:01,2023-03-01T13:00:01,4
f4e245fd6f31,5,1 din 13 Septembrie,Oprire ACC,2023-03-01T09:00:01,2023-03-01T11:00:01,2023-03-01T12:00:01,3
e98834f027ba,1,D3 Gara,Oprire ACC,2023-03-01T10:00:01,2023-03-01T12:00:01,2023-03-01T13:00:01,3
d2031bcc9645,2,2 Colentina,Oprire ACC,2023-03-01T10:00:01,2023-03-01T13:00:01,2023-03-01T14:00:01,4
05028f703ea2,2,2 Iancului - Partial,Oprire ACC,2023-03-01T10:00:01,2023-03-01T12:00:01,2023-03-01T13:00:01,3
ddf1b1ce521c,2,20 Pantelimon,Oprire ACC,2023-03-01T10:00:01,2023-03-01T12:00:01,2023-03-01T13:00:01,3
edd8ac1c61da,2,10 Pantelimon,Oprire ACC,2023-03-01T10:00:01,2023-03-01T10:00:01,2023-03-01T11:00:01,1
661af088d8a7,2,3 Vaselor,Oprire ACC,2023-03-01T10:00:01,2023-03-01T13:00:01,2023-03-01T14:00:01,4
954b0e0f8840,2,7 Colentina,Oprire ACC/INC,2023-03-01T10:00:01,2023-03-01T11:00:01,2023-03-01T12:00:01,2
83872b4f928a,3,7 Placare-T,Oprire ACC,2023-03-01T10:00:01,2023-03-01T11:00:01,2023-03-01T12:00:01,2
606e96f34fe1,3,2Catelu,Oprire ACC,2023-03-01T10:00:01,2023-03-01T13:00:01,2023-03-01T14:00:01,4
e6fedc68826b,3,E1,Deficienta ACC/INC,2023-03-01T10:00:01,2023-03-01T23:00:01,2023-03-02T00:00:01,13
dcfd0dcd9976,3,C3 Căuzaşi,Deficienta ACC/INC,2023-03-01T10:00:01,2023-03-01T23:00:01,2023-03-02T00:00:01,13
491b01157e55,3,5 Cornul Caprei,Deficienta ACC/INC,2023-03-01T10:00:01,2023-03-01T23:00:01,2023-03-02T00:00:01,13
63548880a0bf,6,4/10,Oprire ACC/INC,2023-03-01T10:00:01,2023-03-01T14:00:01,2023-03-01T15:00:01,5
fa47569c6ddf,6,5 Desișului,Oprire ACC,2023-03-01T10:00:01,2023-03-01T13:00:01,2023-03-01T14:00:01,4
360bc466dbf0,6,MILITARI - 3 Placare,Oprire INC,2023-03-01T10:00:01,2023-03-01T17:00:01,2023-03-01T18:00:01,8
bf4f98f889fd,2,10 Pantelimon,Oprire INC,2023-03-01T11:00:01,2023-03-01T12:00:01,2023-03-01T13:00:01,2
d9b02f711f79,2,D18 Mihai Bravu,Oprire ACC/INC,2023-03-01T11:00:01,2023-03-03T00:00:01,2023-03-03T01:00:01,32
56817e555e2c,2,Ilarie Chendi,Oprire ACC/INC,2023-03-01T11:00:01,2023-03-03T00:00:01,2023-03-03T01:00:01,32
0acf2180abc4,3,2 Nicolae Pascu,Oprire ACC,2023-03-01T11:00:01,2023-03-01T12:00:01,2023-03-01T13:00:01,2
80efff057c58,3,U1,Oprire ACC/INC,2023-03-01T11:00:01,2023-03-01T16:00:01,2023-03-01T17:00:01,6
8859a6bdc0ce,3,11 Foișor,Deficienta INC,2023-03-01T11:00:01,2023-03-01T23:00:01,2023-03-02T00:00:01,12
c055a107a82a,5,7 Sebastian,Oprire ACC/INC,2023-03-01T11:00:01,2023-03-01T13:00:01,2023-03-01T14:00:01,3
baf7e7d9c4ab,1,Perla,Oprire ACC/INC,2023-03-01T12:00:01,2023-03-01T21:00:01,2023-03-01T23:00:01,10
e87c14350707,2,17 Pantelimon,Deficienta INC,2023-03-01T12:00:01,2023-03-01T21:00:01,2023-03-01T23:00:01,10
20fa1ec0821e,5,2 Drumul Sarii,Oprire ACC/INC,2023-03-01T12:00:01,2023-03-01T17:00:01,2023-03-01T18:00:01,6
8bdf3651d781,5,Nabucului,Oprire ACC/INC,2023-03-01T12:00:01,2023-03-01T17:00:01,2023-03-01T18:00:01,6
489dd62eae7f,5,Intrarea Drumul Taberei,Oprire ACC/INC,2023-03-01T12:00:01,2023-03-01T17:00:01,2023-03-01T18:00:01,6
9056a7939d13,3,IOR - Partial,Oprire ACC,2023-03-01T13:00:01,2023-03-01T14:00:01,2023-03-01T15:00:01,2
e886ff79545a,5,7 Sebastian,Deficienta INC,2023-03-01T14:00:01,2023-03-01T16:00:01,2023-03-01T17:00:01,3
9d243c1cf15a,6,4/6,Oprire ACC/INC,2023-03-01T14:00:01,2023-03-01T18:00:01,2023-03-01T19:00:01,5
d4f096d9782a,6,11 Liniei,Oprire ACC/INC,2023-03-01T15:00:01,2023-03-02T23:00:01,2023-03-03T00:00:01,27
9b9d985ac581,6,MILITARI - 9 Placare,Oprire ACC/INC,2023-03-01T15:00:01,2023-03-02T23:00:01,2023-03-03T00:00:01,27
50e67f640a76,6,MILITARI - 2 Placare,Oprire ACC/INC,2023-03-01T15:00:01,2023-03-02T23:00:01,2023-03-03T00:00:01,27
011316a263dd,5,2 Drumul Sarii,Deficienta INC,2023-03-01T18:00:01,2023-03-01T19:00:01,2023-03-01T20:00:01,2
