incident_id,sector,pt_name,service,first_seen_ts,last_seen_ts,first_absent_ts,snapshots_present
6c9733bbabb2,1,11 Dorobanti,Deficienta INC,2023-02-01T06:00:01,2023-02-01T09:00:01,2023-02-01T10:00:01,3
a4ea9d8d1e2f,1,CT Floreasca - Partial,Oprire ACC,2023-02-01T09:00:01,2023-02-01T17:00:01,2023-02-01T18:00:01,9
9491b27fc13a,3,4Placare-T - Partial,Oprire ACC,2023-02-01T09:00:01,2023-02-01T12:00:01,2023-02-01T13:00:01,4
35854a41e253,6,1 Veteranilor - Partial,Oprire INC,2023-02-01T09:00:01,2023-02-01T22:00:01,2023-02-01T23:00:01,14
aa816e9a0ade,1,11 Dorobanti,Oprire ACC/INC,2023-02-01T10:00:01,2023-02-01T13:00:01,2023-02-01T14:00:01,4
dabab000ac89,1,Atelier Vicarb,Oprire ACC/INC,2023-02-01T10:00:01,2023-02-01T21:00:01,2023-02-01T22:00:01,12
9b4602ce39b3,1,MODUL TERMIC Vila 24,Oprire ACC/INC,2023-02-01T10:00:01,2023-02-01T20:00:01,2023-02-01T21:00:01,11
63e5f4c58e1d,1,MODUL TERMIC E13,Oprire ACC/INC,2023-02-01T10:00:01,2023-02-01T20:00:01,2023-02-01T21:00:01,11
9ed7ff8c92a3,1,MODUL TERMIC F13 sc.A+B,Oprire ACC/INC,2023-02-01T10:00:01,2023-02-01T20:00:01,2023-02-01T21:00:01,11
be9aa7adb335,1,MODUL TERMIC Vila 30,Oprire ACC/INC,2023-02-01T10:00:01,2023-02-01T20:00:01,2023-02-01T21:00:01,11
e2fb452fd421,1,MODUL TERMIC Vila 25,Oprire ACC/INC,2023-02-01T10:00:01,2023-02-01T20:00:01,2023-02-01T21:00:01,11
946d5782806a,1,MODUL TERMIC Vila 26A,Oprire ACC/INC,2023-02-01T10:00:01,2023-02-01T20:00:01,2023-02-01T21:00:01,11
8b7ceeeb85aa,1,MODUL TERMIC Vila 26B,Oprire ACC/INC,2023-02-01T10:00:01,2023-02-01T20:00:01,2023-02-01T21:00:01,11
703097fb269d,1,MODUL TERMIC Vila 23,Oprire ACC/INC,2023-02-01T10:00:01,2023-02-01T20:00:01,2023-02-01T21:00:01,11
c8ca89fa7efc,1,A Gara,Oprire ACC,2023-02-01T10:00:01,2023-02-01T13:00:01,2023-02-01T14:00:01,4
c2fedf2dee54,1,13-1 Mai - Partial,Oprire ACC,2023-02-01T10:00:01,2023-02-01T16:00:01,2023-02-01T17:00:01,7
b1e0f43adde3,2,2 Voiniceni - Partial,Oprire ACC,2023-02-01T10:00:01,2023-02-01T11:00:01,2023-02-01T12:00:01,2
3e7403ccc552,2,7 IRTA,Deficienta INC,2023-02-01T10:00:01,2023-02-01T23:00:01,2023-02-02T00:00:01,14
5183bfe182c6,2,7 Colentina,Deficienta INC,2023-02-01T10:00:01,2023-02-01T11:00:01,2023-02-01T12:00:01,2
58176c51fa5f,2,Ramuri Tei,Deficienta INC,2023-02-01T10:00:01,2023-02-01T11:00:01,2023-02-01T12:00:01,2
27e546f317ac,2,2 Teiul Doamnei,Deficienta INC,2023-02-01T10:00:01,2023-02-01T13:00:01,2023-02-01T14:00:01,4
e7f9206b7c80,2,4 Colentina,Deficienta INC,2023-02-01T10:00:01,2023-02-01T11:00:01,2023-02-01T12:00:01,2
aee14037dd90,2,5 Colentina,Deficienta INC,2023-02-01T10:00:01,2023-02-01T12:00:01,2023-02-01T13:00:01,3
0cb69ecfb96e,2,5 Pantelimon,Oprire ACC,2023-02-01T10:00:01,2023-02-01T13:00:01,2023-02-01T14:00:01,4
51ec8bf9776e,3,U1,Oprire ACC/INC,2023-02-01T10:00:01,2023-02-01T18:00:01,2023-02-01T19:00:01,9
6303b586a933,3,M1,Oprire ACC/INC,2023-02-01T10:00:01,2023-02-01T18:00:01,2023-02-01T19:00:01,9
6cbcc6efffcb,3,2 Tomis - Partial,Oprire ACC,2023-02-01T10:00:01,2023-02-01T21:00:01,2023-02-01T22:00:01,12
87ad71015b4a,3,4 Mărăşeşti - Partial,Oprire ACC,2023-02-01T10:00:01,2023-02-01T12:00:01,2023-02-01T13:00:01,3
93a77c648691,3,8 C5/2 - Partial,Oprire ACC,2023-02-01T10:00:01,2023-02-01T13:00:01,2023-02-01T14:00:01,4
70e5610ce8b3,5,2 Sălaj,Oprire ACC/INC,2023-02-01T10:00:01,2023-02-01T13:00:01,2023-02-01T14:00:01,4
7da53e25b635,5,2 Ferentari,Deficienta ACC/INC,2023-02-01T10:00:01,2023-02-01T12:00:01,2023-02-01T13:00:01,3
9232398f5624,5,5 Petre Ispirescu,Oprire ACC,2023-02-01T10:00:01,2023-02-01T12:00:01,2023-02-01T13:00:01,3
b42e9d227f07,5,1 Sălaj,Oprire ACC,2023-02-01T10:00:01,2023-02-01T13:00:01,2023-02-01T14:00:01,4
587bfcce38a9,5,6 Sălaj,Oprire ACC,2023-02-01T10:00:01,2023-02-01T13:00:01,2023-02-01T14:00:01,4
bd1e2ab38da1,6,2/7' - Partial,Oprire ACC,2023-02-01T10:00:01,2023-02-01T21:00:01,2023-02-01T22:00:01,12
61e9654e631a,6,SC 4/3 - Partial,Oprire ACC/INC,2023-02-01T10:00:01,2023-02-01T19:00:01,2023-02-01T20:00:01,10
c4b66c64c9de,6,SC 6/2 - Partial,Oprire ACC/INC,2023-02-01T10:00:01,2023-02-01T14:00:01,2023-02-01T15:00:01,5
a0112001c0af,6,MILITARI - 1 Placare - Partial,Oprire ACC,2023-02-01T10:00:01,2023-02-01T15:00:01,2023-02-01T16:00:01,6
d8736ec330ea,6,1 Virtuții,Oprire ACC,2023-02-01T10:00:01,2023-02-01T15:00:01,2023-02-01T16:00:01,6
d01af7ea72a8,2,Barbu Vacarescu,Oprire ACC,2023-02-01T11:00:01,2023-02-01T15:00:01,2023-02-01T16:00:01,5
51aa57d66d3d,2,Ziduri Mosi,Oprire ACC,2023-02-01T11:00:01,2023-02-01T12:00:01,2023-02-01T13:00:01,2
e2e15747fb51,3,1Placare-T,Oprire ACC/INC,2023-02-01T11:00:01,2023-02-01T12:00:01,2023-02-01T13:00:01,2
c5aeea915c27,6,8 Crivina - Partial,Oprire ACC,2023-02-01T11:00:01,2023-02-01T15:00:01,2023-02-01T16:00:01,5
6d87ca20b07a,2,23 Baicului,Oprire ACC/INC,2023-02-01T12:00:01,2023-02-01T20:00:01,2023-02-01T21:00:01,9
1f4d05829512,3,5 Cornul Caprei,Oprire INC,2023-02-01T12:00:01,2023-02-01T12:00:01,2023-02-01T13:00:01,1
db763df57243,3,8A,Oprire ACC,2023-02-01T12:00:01,2023-02-01T13:00:01,2023-02-01T14:00:01,2
ca8e6e7a290f,6,4/6 - Partial,Oprire INC,2023-02-01T12:00:01,2023-02-03T16:00:01,2023-02-03T17:00:01,46
5b38df102dac,5,2 Panduri,Oprire ACC/INC,2023-02-01T13:00:01,2023-02-02T23:00:01,2023-02-03T00:00:01,32
6b363a506e7c,5,1 Panduri,Oprire ACC/INC,2023-02-01T13:00:01,2023-02-02T23:00:01,2023-02-03T00:00:01,32
e4e7f033cbed,3,SC.1Baba Novac - Partial,Oprire ACC/INC,2023-02-01T14:00:01,2023-02-01T14:00:01,2023-02-01T15:00:01,1
3baff565cab6,4,V.S.Sud,Oprire ACC/INC,2023-02-01T14:00:01,2023-02-02T08:00:01,2023-02-02T09:00:01,16
8d604678bbc2,4,P 5 A,Oprire ACC/INC,2023-02-01T14:00:01,2023-02-02T08:00:01,2023-02-02T09:00:01,16
ddedda3e74f3,5,VSNord,Oprire ACC/INC,2023-02-01T14:00:01,2023-02-02T02:00:01,2023-02-02T06:00:01,13
08299a9fbc02,5,Ministerul Finanţelor,Oprire ACC/INC,2023-02-01T14:00:01,2023-02-03T02:00:02,2023-02-03T03:00:01,34
2ca56fa0594a,5,Tribunal,Oprire ACC/INC,2023-02-01T14:00:01,2023-02-02T02:00:01,2023-02-02T06:00:01,13
6e2c5b5ff4aa,5,Gioconda,Oprire ACC/INC,2023-02-01T14:00:01,2023-02-02T02:00:01,2023-02-02T06:00:01,13
7ed48205d484,5,103A,Oprire ACC/INC,2023-02-01T14:00:01,2023-02-03T02:00:02,2023-02-03T03:00:01,34
6cc5e4862331,6,3/8,Oprire ACC,2023-02-01T14:00:01,2023-02-01T15:00:01,2023-02-01T16:00:01,2
b9c1a506cb39,6,ISCH,Oprire ACC/INC,2023-02-01T14:00:01,2023-02-02T13:00:01,2023-02-02T14:00:01,21
a0afefe63053,6,REGIE 3,Oprire ACC/INC,2023-02-01T14:00:01,2023-02-02T13:00:01,2023-02-02T14:00:01,21
4700106e5571,6,PLAVAT,Oprire ACC/INC,2023-02-01T14:00:01,2023-02-02T13:00:01,2023-02-02T14:00:01,21
cf0757b1ec3c,6,"S.G.A. Ilfov-Bucureşti, Administratia Nationala Apele Romane)",Oprire ACC/INC,2023-02-01T14:00:01,2023-02-02T13:00:01,2023-02-02T14:00:01,21
a8673f93442d,6,ZAGANESCU,Oprire ACC/INC,2023-02-01T14:00:01,2023-02-02T13:00:01,2023-02-02T14:00:01,21
383212f10637,6,REGIE 4,Oprire ACC/INC,2023-02-01T14:00:01,2023-02-02T13:00:01,2023-02-02T14:00:01,21
77c623e519ac,6,STUDENTI 2,Oprire ACC/INC,2023-02-01T14:00:01,2023-02-02T13:00:01,2023-02-02T14:00:01,21
b0e6ba1a33a5,6,REGIE 2,Oprire ACC/INC,2023-02-01T14:00:01,2023-02-02T13:00:01,2023-02-02T14:00:01,21
81127e4f6778,6,4/6,Oprire ACC,2023-02-01T16:00:01,2023-02-01T19:00:01,2023-02-01T20:00:01,4
094c15b10eae,6,7 Giulești,Deficienta INC,2023-02-01T18:00:01,2023-02-02T14:00:01,2023-02-02T15:00:01,18
e6ee78bc5f5a,6,7 Crivina,Deficienta INC,2023-02-01T18:00:01,2023-02-02T11:00:01,2023-02-02T12:00:01,15
7d77eb679a2d,2,14 Pantelimon,Deficienta INC,2023-02-01T19:00:01,2023-02-01T21:00:01,2023-02-01T22:00:01,3
1ccb7031884d,2,10 Pantelimon,Deficienta INC,2023-02-01T19:00:01,2023-02-01T21:00:01,2023-02-01T22:00:01,3
b29338b02260,2,16 Vergului,Deficienta INC,2023-02-01T19:00:01,2023-02-02T06:00:01,2023-02-02T07:00:01,9
29283fa5af35,2,11 Pantelimon,Deficienta ACC/INC,2023-02-01T19:00:01,2023-02-01T23:00:01,2023-02-02T00:00:01,5
6a18e59039f3,2,Cosmos Extindere,Deficienta ACC/INC,2023-02-01T19:00:01,2023-02-01T23:00:01,2023-02-02T00:00:01,5
3f117af761dd,2,Cosmos Vechi,Deficienta ACC/INC,2023-02-01T19:00:01,2023-02-01T23:00:01,2023-02-02T00:00:01,5
20dc284b8606,6,8 Crivina,Deficienta INC,2023-02-01T19:00:01,2023-02-02T14:00:01,2023-02-02T15:00:01,17
2fc848fe26f7,6,8 Crivina,Deficienta ACC,2023-02-01T20:00:01,2023-02-01T23:00:01,2023-02-02T00:00:01,4
e640d50559ff,6,5 Crivina,Deficienta INC,2023-02-01T20:00:01,2023-02-02T07:00:01,2023-02-02T08:00:01,9
dc5b5dd103c2,6,Prunaru,Deficienta INC,2023-02-01T20:00:01,2023-02-02T07:00:01,2023-02-02T08:00:01,9
f02738e6fcca,2,1 Carei,Deficienta ACC/INC,2023-02-01T21:00:01,2023-02-01T21:00:01,2023-02-01T22:00:01,1
261d6aa1ecdf,5,Ct Ferentari Depou,Oprire ACC,2023-02-01T21:00:01,2023-02-01T21:00:01,2023-02-01T22:00:01,1
d4a49be05bce,2,14 Pantelimon,Deficienta ACC/INC,2023-02-01T22:00:01,2023-02-01T23:00:01,2023-02-02T00:00:01,2
a0ceb1c0310d,2,10 Pantelimon,Deficienta ACC/INC,2023-02-01T22:00:01,2023-02-01T23:00:01,2023-02-02T00:00:01,2
82bb4bd429aa,2,23 Baicului,Deficienta ACC/INC,2023-02-01T22:00:01,2023-02-01T23:00:01,2023-02-02T00:00:01,2
97bc454639bb,3,MY,Deficienta ACC/INC,2023-02-01T22:00:01,2023-02-02T00:00:01,2023-02-02T01:00:01,3
