episode_id,sector,pt_name,utility,first_seen_ts,last_seen_ts,first_absent_ts,n_incidents,n_bridged_gaps,bridged_seconds
05486076d128,2,1 Mosilor,INC,2022-03-01T00:00:01,2022-03-01T06:00:01,2022-03-01T07:00:01,1,0,0
f1482ef97c98,2,2 Cheile Zanoagei,INC,2022-03-01T00:00:01,2022-03-01T06:00:01,2022-03-01T07:00:01,1,0,0
39b39c6b1488,2,30 Stefan cel Mare,INC,2022-03-01T00:00:01,2022-03-01T06:00:01,2022-03-01T07:00:01,1,0,0
26a56d06808d,2,7 IRTA,INC,2022-03-01T00:00:01,2022-03-01T06:00:01,2022-03-01T07:00:01,1,0,0
b23a7f65b841,2,Nada Florilor,INC,2022-03-01T00:00:01,2022-03-01T06:00:01,2022-03-01T07:00:01,1,0,0
534252e70767,2,Ramuri Tei,INC,2022-03-01T00:00:01,2022-03-01T06:00:01,2022-03-01T07:00:01,1,0,0
6a64d4edc86e,6,2 Îndesirii,INC,2022-03-01T01:00:01,2022-03-01T06:00:01,2022-03-01T07:00:01,1,0,0
f5f5a35c7ba6,1,2 Dorobanti,ACC,2022-03-01T07:00:01,2022-03-02T08:00:01,2022-03-02T09:00:01,1,0,0
fcee29245ef9,2,ICB,INC,2022-03-01T07:00:01,2022-03-01T11:00:01,2022-03-01T12:00:01,1,0,0
af5f300a6368,1,7 Clucerului,ACC,2022-03-01T09:00:01,2022-03-02T00:00:01,2022-03-02T01:00:01,2,1,21600
1d44da2884d2,3,17 Răcari,ACC,2022-03-01T09:00:01,2022-03-01T09:00:01,2022-03-01T10:00:01,1,0,0
b780786d475e,3,17 Răcari,INC,2022-03-01T09:00:01,2022-03-01T09:00:01,2022-03-01T10:00:01,1,0,0
5054643e7a2c,1,1 Turda,ACC,2022-03-01T10:00:01,2022-03-02T00:00:01,2022-03-02T01:00:01,2,1,14400
a900b7d23ad1,1,1 Turda,INC,2022-03-01T10:00:01,2022-03-02T00:00:01,2022-03-02T01:00:01,2,1,14400
e75b756db9f2,1,13-1 Mai,ACC,2022-03-01T10:00:01,2022-03-01T11:00:01,2022-03-01T12:00:01,1,0,0
4eff258dff17,1,17-19 Bucurestii Noi,ACC,2022-03-01T10:00:01,2022-03-01T12:00:01,2022-03-01T13:00:01,1,0,0
81bdc038613b,1,17-19 Bucurestii Noi,INC,2022-03-01T10:00:01,2022-03-01T12:00:01,2022-03-01T13:00:01,1,0,0
02f91618e2a3,1,2 Turda,ACC,2022-03-01T10:00:01,2022-03-01T17:00:01,2022-03-01T18:00:01,1,0,0
07a215ff0e17,1,2 Turda,INC,2022-03-01T10:00:01,2022-03-02T00:00:01,2022-03-02T01:00:01,2,1,14400
e384fc90a2e8,1,2-1 Mai,ACC,2022-03-01T10:00:01,2022-03-01T17:00:01,2022-03-01T18:00:01,1,0,0
37c722d674b5,1,2-1 Mai,INC,2022-03-01T10:00:01,2022-03-02T00:00:01,2022-03-02T01:00:01,2,1,14400
3eac51e37b72,1,A Gara,ACC,2022-03-01T10:00:01,2022-03-01T12:00:01,2022-03-01T13:00:01,1,0,0
74c8f37e169e,1,A Grant,INC,2022-03-01T10:00:01,2022-03-01T12:00:01,2022-03-01T13:00:01,1,0,0
100e7122a086,1,DTM,ACC,2022-03-01T10:00:01,2022-03-01T17:00:01,2022-03-01T18:00:01,1,0,0
da92ed7cd26a,1,DTM,INC,2022-03-01T10:00:01,2022-03-01T17:00:01,2022-03-01T18:00:01,1,0,0
5f65416238ed,2,3 Mosilor - Partial,ACC,2022-03-01T10:00:01,2022-03-01T16:00:01,2022-03-01T17:00:01,1,0,0
62fa4bf8e4a4,2,5 Doamna Ghica,ACC,2022-03-01T10:00:01,2022-03-01T12:00:01,2022-03-01T13:00:01,1,0,0
291bfc6f47e1,2,5 Iancului,ACC,2022-03-01T10:00:01,2022-03-01T14:00:01,2022-03-01T15:00:01,1,0,0
ded80ef1a33f,2,8 Muncii,INC,2022-03-01T10:00:01,2022-03-01T12:00:01,2022-03-01T13:00:01,1,0,0
d8d53e8c4614,2,D11 Mihai Bravu,ACC,2022-03-01T10:00:01,2022-03-01T12:00:01,2022-03-01T13:00:01,1,0,0
5ddd6d70a71b,3,4C5/1 - Partial,INC,2022-03-01T10:00:01,2022-03-01T14:00:01,2022-03-01T15:00:01,1,0,0
b716ad08ef53,3,S14,ACC,2022-03-01T10:00:01,2022-03-01T10:00:01,2022-03-01T11:00:01,1,0,0
f6af32ca51fb,4,5 Zona II,ACC,2022-03-01T10:00:01,2022-03-01T12:00:01,2022-03-01T13:00:01,1,0,0
ff19ddacb8d1,4,8 Brâncoveanu,ACC,2022-03-01T10:00:01,2022-03-01T12:00:01,2022-03-01T13:00:01,1,0,0
c5150db36c04,5,2 Panduri,ACC,2022-03-01T10:00:01,2022-03-01T23:00:01,2022-03-02T00:00:01,1,0,0
19967c9b1c94,5,2 Panduri,INC,2022-03-01T10:00:01,2022-03-01T23:00:01,2022-03-02T00:00:01,1,0,0
db7efdd428fd,5,4 Petre Ispirescu - Partial,ACC,2022-03-01T10:00:01,2022-03-01T14:00:01,2022-03-01T15:00:01,1,0,0
8f4e8140efbb,5,6 Margeanului - Partial,ACC,2022-03-01T10:00:01,2022-03-01T11:00:01,2022-03-01T12:00:01,1,0,0
2451320330a2,5,MFA Panduri,ACC,2022-03-01T10:00:01,2022-03-01T11:00:01,2022-03-01T12:00:01,1,0,0
1d4428f8b955,5,Modul Paulescu,ACC,2022-03-01T10:00:01,2022-03-01T23:00:01,2022-03-02T00:00:01,1,0,0
f63a29ca79d8,5,Modul Vulcan,ACC,2022-03-01T10:00:01,2022-03-01T17:00:01,2022-03-01T18:00:01,1,0,0
91a369ab81c2,5,Modul Vulcan,INC,2022-03-01T10:00:01,2022-03-01T17:00:01,2022-03-01T18:00:01,1,0,0
5d89fa878d92,6,12 Maratonului,ACC,2022-03-01T10:00:01,2022-03-02T13:00:01,2022-03-02T14:00:01,2,1,68400
206a92944ed1,6,12 Maratonului,INC,2022-03-01T10:00:01,2022-03-01T14:00:01,2022-03-01T15:00:01,1,0,0
b9664b935de6,6,8/5 - Partial,INC,2022-03-01T10:00:01,2022-03-03T22:00:01,2022-03-03T23:00:01,2,1,46800
2ba65a0824e1,6,SC 1/2 - Partial,ACC,2022-03-01T10:00:01,2022-03-01T12:00:01,2022-03-01T13:00:01,1,0,0
8cbe08979f4c,6,SC 1/2 - Partial,INC,2022-03-01T10:00:01,2022-03-01T12:00:01,2022-03-01T13:00:01,1,0,0
6ac2fed10b13,6,SC 4/5 - Partial,ACC,2022-03-01T10:00:01,2022-03-01T15:00:01,2022-03-01T16:00:01,1,0,0
2b25864dba41,2,8 Pantelimon,ACC,2022-03-01T11:00:01,2022-03-01T12:00:01,2022-03-01T13:00:01,1,0,0
075851ea4d28,6,8 Virtuții,ACC,2022-03-01T12:00:01,2022-03-01T13:00:01,2022-03-01T14:00:01,1,0,0
69e665dbeecb,5,MFA Panduri,ACC,2022-03-01T13:00:01,2022-03-01T23:00:01,2022-03-02T00:00:01,1,0,0
b4dee99720ef,5,3 din 13 Septembrie,ACC,2022-03-01T18:00:01,2022-03-01T23:00:01,2022-03-02T00:00:01,1,0,0
aae015365492,5,3 din 13 Septembrie,INC,2022-03-01T18:00:01,2022-03-02T07:00:01,2022-03-02T08:00:01,2,0,0
abe45916de24,5,"bloc 1, bloc 2 (cod PT: 50039)",ACC,2022-03-01T18:00:01,2022-03-04T14:00:01,2022-03-04T15:00:01,1,0,0
26fbdaded148,5,"bloc 1, bloc 2 (cod PT: 50039)",INC,2022-03-01T18:00:01,2022-03-04T14:00:01,2022-03-04T15:00:01,1,0,0
364bc69f8b94,1,7 Clucerului,INC,2022-03-01T20:00:01,2022-03-02T00:00:01,2022-03-02T01:00:01,1,0,0
7c5ffb480de8,2,3 Cheile Zanoagei,INC,2022-03-01T20:00:01,2022-03-02T01:00:01,2022-03-02T07:00:01,1,0,0
ab39d5643482,1,3 Aviatiei,ACC,2022-03-01T22:00:01,2022-03-02T00:00:01,2022-03-02T01:00:01,1,0,0
31fa06a02071,2,1 Iancului,INC,2022-03-02T01:00:01,2022-03-02T01:00:01,2022-03-02T07:00:01,1,0,0
08b5828eae91,2,18 Pantelimon,INC,2022-03-02T01:00:01,2022-03-02T01:00:01,2022-03-02T07:00:01,1,0,0
187f6ce3a7e5,2,19 Pantelimon,INC,2022-03-02T01:00:01,2022-03-02T01:00:01,2022-03-02T07:00:01,1,0,0
235711092a44,2,2 Iancului,INC,2022-03-02T01:00:01,2022-03-02T01:00:01,2022-03-02T07:00:01,1,0,0
