episode_id,sector,pt_name,utility,first_seen_ts,last_seen_ts,first_absent_ts,n_incidents,n_bridged_gaps,bridged_seconds
8dba7c66287a,6,4/6 - Partial,INC,2023-01-02T14:00:01,2023-01-02T22:00:01,2023-01-03T06:00:01,1,0,0
e2b17997bae7,4,1 Berceni Oltenița - Partial,ACC,2023-01-02T22:00:01,2023-01-11T22:00:01,2023-01-11T23:00:01,2,1,3601
1e4e3fc2c509,1,1 Bucurestii Noi,ACC,2023-01-03T09:00:01,2023-01-03T16:00:01,2023-01-03T18:00:01,1,0,0
e9cbcf85158a,1,1 Bucurestii Noi,INC,2023-01-03T09:00:01,2023-01-03T16:00:01,2023-01-03T18:00:01,1,0,0
49a9d395b54b,1,10 Bucurestii Noi,ACC,2023-01-03T09:00:01,2023-01-03T16:00:01,2023-01-03T18:00:01,1,0,0
a4c1018b7e73,1,10 Bucurestii Noi,INC,2023-01-03T09:00:01,2023-01-03T16:00:01,2023-01-03T18:00:01,1,0,0
3dbd58775994,1,2 Bucurestii Noi,ACC,2023-01-03T09:00:01,2023-01-03T16:00:01,2023-01-03T18:00:01,1,0,0
b3463f397901,1,2 Bucurestii Noi,INC,2023-01-03T09:00:01,2023-01-03T16:00:01,2023-01-03T18:00:01,1,0,0
98a8fa613dd1,1,2 Ilie Pintilie,ACC,2023-01-03T09:00:01,2023-01-04T21:00:01,2023-01-04T22:00:01,3,2,68400
6b10ae8d15f1,1,2 Ilie Pintilie,INC,2023-01-03T09:00:01,2023-01-04T23:00:01,2023-01-05T00:00:01,5,2,61200
0025ceb181b0,1,2 P-ta Victoriei,ACC,2023-01-03T09:00:01,2023-01-04T14:00:01,2023-01-04T15:00:01,2,1,72000
3324728288da,1,2 P-ta Victoriei,INC,2023-01-03T09:00:01,2023-01-04T14:00:01,2023-01-04T15:00:01,2,1,72000
64bd4794509b,1,3 P-Ţa Victoriei,ACC,2023-01-03T09:00:01,2023-01-04T14:00:01,2023-01-04T15:00:01,2,1,72000
1ac542f4a50f,1,3 P-Ţa Victoriei,INC,2023-01-03T09:00:01,2023-01-04T14:00:01,2023-01-04T15:00:01,2,1,72000
977e3b2f8eb0,1,6 Bucurestii Noi,ACC,2023-01-03T09:00:01,2023-01-03T16:00:01,2023-01-03T18:00:01,1,0,0
1c54d9c90edf,1,6 Bucurestii Noi,INC,2023-01-03T09:00:01,2023-01-03T16:00:01,2023-01-03T18:00:01,1,0,0
c627b92c5abb,1,Atelier Vicarb,ACC,2023-01-03T09:00:01,2023-01-03T15:00:01,2023-01-03T16:00:01,1,0,0
9cf1ca0c327f,1,Atelier Vicarb,INC,2023-01-03T09:00:01,2023-01-03T15:00:01,2023-01-03T16:00:01,1,0,0
e2c8361737d5,1,MODUL TERMIC Vila 28,ACC,2023-01-03T09:00:01,2023-01-03T12:00:02,2023-01-03T13:00:01,1,0,0
7fbbcdc5a9cf,1,MODUL TERMIC Vila 28,INC,2023-01-03T09:00:01,2023-01-03T12:00:02,2023-01-03T13:00:01,1,0,0
5c32f256db2f,2,7 Colentina,ACC,2023-01-03T09:00:01,2023-01-03T14:00:01,2023-01-03T15:00:01,1,0,0
38d2e0a0e3d7,6,SC 8/9,ACC,2023-01-03T09:00:01,2023-01-03T12:00:02,2023-01-03T13:00:01,1,0,0
fa58686a6549,6,SC 8/9,INC,2023-01-03T09:00:01,2023-01-03T12:00:02,2023-01-03T13:00:01,1,0,0
49d7e4a9c2bd,1,126-1 Mai,ACC,2023-01-03T10:00:01,2023-01-03T12:00:02,2023-01-03T13:00:01,1,0,0
65222d6a2aa2,3,14 Tomis,ACC,2023-01-03T10:00:01,2023-01-04T01:00:01,2023-01-04T06:00:01,2,1,35999
8f942b74cb9a,3,14 Tomis,INC,2023-01-03T10:00:01,2023-01-03T11:00:01,2023-01-03T12:00:02,1,0,0
54e3fa8c2e4b,3,2Stejarului,ACC,2023-01-03T10:00:01,2023-01-04T00:00:01,2023-01-04T01:00:01,1,0,0
411a83c5778b,3,2Stejarului,INC,2023-01-03T10:00:01,2023-01-04T00:00:01,2023-01-04T01:00:01,1,0,0
4bbd0bf818e3,3,E1,ACC,2023-01-03T10:00:01,2023-01-03T12:00:02,2023-01-03T13:00:01,1,0,0
29ff2e2dff55,3,E1,INC,2023-01-03T10:00:01,2023-01-03T12:00:02,2023-01-03T13:00:01,1,0,0
777ca4245f25,3,Fundatia Victor Babes,ACC,2023-01-03T10:00:01,2023-01-04T00:00:01,2023-01-04T01:00:01,1,0,0
500811e3414d,3,Fundatia Victor Babes,INC,2023-01-03T10:00:01,2023-01-04T00:00:01,2023-01-04T01:00:01,1,0,0
13f6e0a8878f,3,M1,ACC,2023-01-03T10:00:01,2023-01-04T00:00:01,2023-01-04T01:00:01,1,0,0
04acfe4cc696,3,M1,INC,2023-01-03T10:00:01,2023-01-04T00:00:01,2023-01-04T01:00:01,1,0,0
91d7ce619426,3,Mihai Bravu Vest,ACC,2023-01-03T10:00:01,2023-01-03T12:00:02,2023-01-03T13:00:01,1,0,0
