episode_id,sector,pt_name,utility,first_seen_ts,last_seen_ts,first_absent_ts,n_incidents,n_bridged_gaps,bridged_seconds
06f515333679,4,1 Serban Voda,ACC,2022-05-01T12:00:01,2022-05-01T12:00:01,2022-05-01T13:00:01,1,0,0
ca6ce46550db,6,12 Maratonului,ACC,2022-05-01T13:00:01,2022-05-01T23:00:01,2022-05-02T00:00:01,1,0,0
3b9b204128d8,6,15 Apusului,ACC,2022-05-01T13:00:01,2022-05-01T23:00:01,2022-05-02T00:00:01,1,0,0
937b0eefd040,6,2 Îndesirii,ACC,2022-05-01T13:00:01,2022-05-01T23:00:01,2022-05-02T00:00:01,1,0,0
e8e23f5d3407,6,3A Placare,ACC,2022-05-01T13:00:01,2022-05-01T23:00:01,2022-05-02T00:00:01,1,0,0
4368a505802b,6,4 Roșia Montană,ACC,2022-05-01T13:00:01,2022-05-01T23:00:01,2022-05-02T00:00:01,1,0,0
af12659307ed,6,5 Desișului,ACC,2022-05-01T13:00:01,2022-05-01T23:00:01,2022-05-02T00:00:01,1,0,0
e45ebbc0a251,6,6 Roșia Montană,ACC,2022-05-01T13:00:01,2022-05-01T23:00:01,2022-05-02T00:00:01,1,0,0
923fb23056bc,6,7 Lavandei,ACC,2022-05-01T13:00:01,2022-05-01T23:00:01,2022-05-02T00:00:01,1,0,0
d4562b95adce,6,8 Ghirlandei,ACC,2022-05-01T13:00:01,2022-05-01T23:00:01,2022-05-02T00:00:01,1,0,0
b6bc53765ccd,6,9 Placare,ACC,2022-05-01T13:00:01,2022-05-01T23:00:01,2022-05-02T00:00:01,1,0,0
454bec422c49,6,SC 1/3,ACC,2022-05-01T13:00:01,2022-05-02T00:00:01,2022-05-02T02:00:01,1,0,0
d92378bfc81a,6,SC 2/3,ACC,2022-05-01T13:00:01,2022-05-02T00:00:01,2022-05-02T02:00:01,1,0,0
340a6cbfd761,6,SC 3/3,ACC,2022-05-01T13:00:01,2022-05-02T00:00:01,2022-05-02T02:00:01,1,0,0
4a3b8bf9dae7,6,SC 4/3,ACC,2022-05-01T13:00:01,2022-05-02T00:00:01,2022-05-02T02:00:01,1,0,0
8d5dc5c86e6f,6,1 Roșu,ACC,2022-05-01T18:00:01,2022-05-01T23:00:01,2022-05-02T00:00:01,1,0,0
9ea3536cab22,6,10 Liniei,ACC,2022-05-01T18:00:01,2022-05-01T23:00:01,2022-05-02T00:00:01,1,0,0
c858c1cc2ac3,6,SC 8/9,ACC,2022-05-01T18:00:01,2022-05-01T23:00:01,2022-05-02T00:00:01,1,0,0
003da4ad5b2b,6,1 Placare,ACC,2022-05-01T19:00:01,2022-05-01T23:00:01,2022-05-02T00:00:01,1,0,0
ef4d34cb3960,6,10 Aragonitului,ACC,2022-05-01T19:00:01,2022-05-01T23:00:01,2022-05-02T00:00:01,1,0,0
0a1ebd1351a0,6,14 Păcii,ACC,2022-05-01T19:00:01,2022-05-01T23:00:01,2022-05-02T00:00:01,1,0,0
5d183bf08f40,6,2 Roșu,ACC,2022-05-01T19:00:01,2022-05-01T23:00:01,2022-05-02T00:00:01,1,0,0
dff084016597,6,3 Dreptății,ACC,2022-05-01T19:00:01,2022-05-01T23:00:01,2022-05-02T00:00:01,1,0,0
963047cd041f,6,3 Placare,ACC,2022-05-01T19:00:01,2022-05-01T23:00:01,2022-05-02T00:00:01,1,0,0
ebf7f68d1a5c,6,4 Placare,ACC,2022-05-01T19:00:01,2022-05-01T23:00:01,2022-05-02T00:00:01,1,0,0
1ac29f84a266,6,11 Mărgelelor,ACC,2022-05-01T20:00:01,2022-05-01T23:00:01,2022-05-02T00:00:01,1,0,0
171b80d5bfce,6,12 Liniei,ACC,2022-05-01T20:00:01,2022-05-01T23:00:01,2022-05-02T00:00:01,1,0,0
307d90442b28,6,2 Placare,ACC,2022-05-01T20:00:01,2022-05-01T23:00:01,2022-05-02T00:00:01,1,0,0
2bab590c9f61,4,1 Serban Voda,ACC,2022-05-01T21:00:01,2022-05-01T23:00:01,2022-05-02T00:00:01,1,0,0
2e3b9dd82e06,4,1 Stoian Militaru,ACC,2022-05-01T21:00:01,2022-05-01T23:00:01,2022-05-02T00:00:01,1,0,0
c86ba38fd19b,4,2 Giurgiu,ACC,2022-05-01T21:00:01,2022-05-01T23:00:01,2022-05-02T00:00:01,1,0,0
5bec47989de2,4,2 Oltenita Placare,ACC,2022-05-01T21:00:01,2022-05-01T23:00:01,2022-05-02T00:00:01,1,0,0
1672771066e5,4,2 Stoian Militaru,ACC,2022-05-01T21:00:01,2022-05-01T23:00:01,2022-05-02T00:00:01,1,0,0
e55ffec9f940,4,3 Nitu Vasile,ACC,2022-05-01T21:00:01,2022-05-01T23:00:01,2022-05-02T00:00:01,1,0,0
ba3083cabca1,4,3 Tineretului,ACC,2022-05-01T21:00:01,2022-05-01T23:00:01,2022-05-02T00:00:01,1,0,0
