episode_id,sector,pt_name,utility,cause_class,slip_count,estimated_restore,posted_ts,restored_ts,hit
2d1db4dcb532,1,2 Turda,INC,missing_params,0,2022-01-01T08:00,2022-01-01T06:00:01,2022-01-01T15:00:02,0
2d1db4dcb532,1,2 Turda,INC,missing_params,1,2022-01-01T14:00,2022-01-01T09:00:01,2022-01-01T15:00:02,0
265bad53fc4f,1,3 Turda,INC,missing_params,0,2022-01-01T08:00,2022-01-01T06:00:01,2022-01-02T12:00:01,0
265bad53fc4f,1,3 Turda,INC,missing_params,1,2022-01-01T14:00,2022-01-01T09:00:01,2022-01-02T12:00:01,0
265bad53fc4f,1,3 Turda,INC,missing_params,2,2022-01-01T20:00,2022-01-01T15:00:02,2022-01-02T12:00:01,0
265bad53fc4f,1,3 Turda,INC,missing_params,3,2022-01-01T23:30,2022-01-01T20:00:01,2022-01-02T12:00:01,0
08d7d7973dc8,1,2 Aviatiei,ACC,missing_params,0,2022-01-01T14:00,2022-01-01T11:00:01,2022-01-02T12:00:01,0
08d7d7973dc8,1,2 Aviatiei,ACC,missing_params,1,2022-01-01T20:00,2022-01-01T15:00:02,2022-01-02T12:00:01,0
08d7d7973dc8,1,2 Aviatiei,ACC,missing_params,2,2022-01-01T22:30,2022-01-01T20:00:01,2022-01-02T12:00:01,0
227eac4282ab,1,3 Aviatiei,INC,missing_params,0,2022-01-01T14:00,2022-01-01T11:00:01,2022-01-03T14:00:01,0
227eac4282ab,1,3 Aviatiei,INC,missing_params,1,2022-01-01T20:00,2022-01-01T15:00:02,2022-01-03T14:00:01,0
227eac4282ab,1,3 Aviatiei,INC,missing_params,2,2022-01-01T23:30,2022-01-01T20:00:01,2022-01-03T14:00:01,0
227eac4282ab,1,3 Aviatiei,INC,missing_params,3,2022-01-02T20:00,2022-01-02T12:00:01,2022-01-03T14:00:01,0
227eac4282ab,1,3 Aviatiei,INC,missing_params,4,2022-01-02T23:30,2022-01-02T21:00:01,2022-01-03T14:00:01,0
227eac4282ab,1,3 Aviatiei,INC,missing_params,5,2022-01-03T08:00,2022-01-03T00:00:01,2022-01-03T14:00:01,0
227eac4282ab,1,3 Aviatiei,INC,missing_params,6,2022-01-03T14:00,2022-01-03T08:00:01,2022-01-03T14:00:01,0
3f962f59bf77,1,9-1 Mai,INC,missing_params,0,2022-01-01T14:00,2022-01-01T11:00:01,2022-01-01T15:00:02,0
36d53e4724f1,2,Ziduri Mosi,ACC,missing_params,0,2022-01-01T23:00,2022-01-01T11:00:01,2022-01-01T19:00:01,1
ac9ba1686d5d,2,3 Cheile Zanoagei,ACC,missing_params,0,2022-01-01T23:00,2022-01-01T12:00:01,2022-01-01T19:00:01,1
7708e279c3b3,1,3 Aviatiei,ACC,missing_params,0,2022-01-01T20:00,2022-01-01T18:00:01,2022-01-02T12:00:01,0
7708e279c3b3,1,3 Aviatiei,ACC,missing_params,1,2022-01-01T23:30,2022-01-01T20:00:01,2022-01-02T12:00:01,0
7aa2c34d6acb,2,3 Fundeni,INC,missing_params,0,2022-01-01T23:00,2022-01-01T19:00:01,2022-01-04T07:00:01,0
7aa2c34d6acb,2,3 Fundeni,INC,missing_params,1,2022-01-02T11:00,2022-01-01T23:00:01,2022-01-04T07:00:01,0
7aa2c34d6acb,2,3 Fundeni,INC,missing_params,2,2022-01-03T10:00,2022-01-02T12:00:01,2022-01-04T07:00:01,0
7aa2c34d6acb,2,3 Fundeni,INC,missing_params,3,2022-01-04T10:00,2022-01-03T11:00:01,2022-01-04T07:00:01,1
7aa2c34d6acb,2,3 Fundeni,INC,missing_params,4,2022-01-04T23:30,2022-01-03T16:00:01,2022-01-04T07:00:01,1
2db3ca9323d2,1,2 Aviatiei,INC,missing_params,0,2022-01-01T22:30,2022-01-01T20:00:01,2022-01-02T12:00:01,0
354f647d6f96,2,3 Vaselor,INC,missing_params,0,2022-01-02T11:00,2022-01-01T23:00:01,2022-01-02T12:00:01,0
714f388ab932,2,5 Socului,INC,missing_params,0,2022-01-02T11:00,2022-01-01T23:00:01,2022-01-02T12:00:01,0
