episode_id,sector,pt_name,utility,cause_class,slip_count,estimated_restore,posted_ts,restored_ts,hit
c15cbdcbe08c,1,2 Aviatiei,ACC,missing_params,0,2023-04-01T06:00,2023-04-01T02:00:01,2023-04-01T07:00:01,0
f9c49e1eb9fd,1,2 Aviatiei,INC,missing_params,0,2023-04-01T06:00,2023-04-01T02:00:01,2023-04-02T00:00:01,0
f9c49e1eb9fd,1,2 Aviatiei,INC,missing_params,1,2023-04-01T09:00,2023-04-01T07:00:01,2023-04-02T00:00:01,0
f9c49e1eb9fd,1,2 Aviatiei,INC,missing_params,2,2023-04-01T12:00,2023-04-01T10:00:01,2023-04-02T00:00:01,0
f9c49e1eb9fd,1,2 Aviatiei,INC,missing_params,3,2023-04-01T15:00,2023-04-01T12:00:01,2023-04-02T00:00:01,0
f9c49e1eb9fd,1,2 Aviatiei,INC,missing_params,4,2023-04-01T20:00,2023-04-01T18:00:01,2023-04-02T00:00:01,0
f9c49e1eb9fd,1,2 Aviatiei,INC,missing_params,5,2023-04-01T23:30,2023-04-01T21:00:01,2023-04-02T00:00:01,0
874c3902b237,1,6 Aviatiei,ACC,missing_params,0,2023-04-01T06:00,2023-04-01T02:00:01,2023-04-01T07:00:01,0
3c56106f20b7,1,6 Aviatiei,INC,missing_params,0,2023-04-01T06:00,2023-04-01T02:00:01,2023-04-01T18:00:01,0
3c56106f20b7,1,6 Aviatiei,INC,missing_params,1,2023-04-01T09:00,2023-04-01T07:00:01,2023-04-01T18:00:01,0
3c56106f20b7,1,6 Aviatiei,INC,missing_params,2,2023-04-01T12:00,2023-04-01T10:00:01,2023-04-01T18:00:01,0
3c56106f20b7,1,6 Aviatiei,INC,missing_params,3,2023-04-01T15:00,2023-04-01T12:00:01,2023-04-01T18:00:01,0
5978229f35cb,5,10 Margeanului,INC,missing_params,0,2023-04-01T10:00,2023-04-01T07:00:01,2023-04-02T00:00:01,0
5978229f35cb,5,10 Margeanului,INC,missing_params,1,2023-04-01T14:00,2023-04-01T11:00:02,2023-04-02T00:00:01,0
5978229f35cb,5,10 Margeanului,INC,missing_params,2,2023-04-01T18:00,2023-04-01T15:00:01,2023-04-02T00:00:01,0
5978229f35cb,5,10 Margeanului,INC,missing_params,3,2023-04-01T20:00,2023-04-01T19:00:01,2023-04-02T00:00:01,0
5978229f35cb,5,10 Margeanului,INC,missing_params,4,2023-04-01T23:00,2023-04-01T22:00:02,2023-04-02T00:00:01,0
0d0c801a85a5,5,10 Margeanului,ACC,missing_params,0,2023-04-01T14:00,2023-04-01T11:00:02,2023-04-01T12:00:01,1
8d0cfe5ba710,6,10 Giulești,INC,breakdown,0,2023-04-01T23:30,2023-04-01T13:00:01,2023-04-01T17:00:01,1
71be0d2210f7,6,B Giulești,INC,breakdown,0,2023-04-01T23:30,2023-04-01T13:00:01,2023-04-01T17:00:01,1
f35819c4cb64,6,1 Giulești,ACC,missing_params,0,2023-04-01T23:30,2023-04-01T17:00:01,2023-04-01T20:00:01,1
79b089fff6b8,6,1 Giulești,INC,missing_params,0,2023-04-01T23:30,2023-04-01T17:00:01,2023-04-01T20:00:01,1
bfe4a7a7dc12,6,7 Crivina,INC,missing_params,0,2023-04-01T23:30,2023-04-01T17:00:01,2023-04-01T20:00:01,1
e927c0eca2cd,6,PLAVAT,ACC,missing_params,0,2023-04-01T23:30,2023-04-01T19:00:01,2023-04-03T17:00:01,0
e927c0eca2cd,6,PLAVAT,ACC,missing_params,1,2023-04-02T10:00,2023-04-02T00:00:01,2023-04-03T17:00:01,0
e927c0eca2cd,6,PLAVAT,ACC,missing_params,2,2023-04-02T20:00,2023-04-02T11:00:01,2023-04-03T17:00:01,0
e927c0eca2cd,6,PLAVAT,ACC,missing_params,3,2023-04-02T23:30,2023-04-02T21:00:02,2023-04-03T17:00:01,0
