episode_id,sector,pt_name,utility,cause_class,slip_count,estimated_restore,posted_ts,restored_ts,hit
351591233243,6,STUDENTI 2,ACC,breakdown,0,2024-05-01T23:30,2024-05-01T07:00:01,2024-05-02T01:00:01,0
d1d34146327e,2,1 Cheile Zanoagei,ACC,breakdown,0,2024-05-01T23:30,2024-05-01T11:00:01,2024-05-01T16:00:01,1
0862a2089d60,2,3 Petricani,ACC,breakdown,0,2024-05-01T23:30,2024-05-01T11:00:01,2024-05-01T16:00:01,1
3061b5f366e0,4,1 Bis Zona I,ACC,missing_params,0,2024-05-01T14:00,2024-05-01T11:00:01,2024-05-01T12:00:01,1
560d8cc3427b,4,2 Berceni Oltenita,ACC,missing_params,0,2024-05-01T14:00,2024-05-01T11:00:01,2024-05-01T13:00:01,1
8e8321bc2ec1,4,2 Oltenita Placare,ACC,missing_params,0,2024-05-01T14:00,2024-05-01T11:00:01,2024-05-01T12:00:01,1
5dd28a2aeb0c,4,2 Stoian Militaru,ACC,missing_params,0,2024-05-01T14:00,2024-05-01T11:00:01,2024-05-01T12:00:01,1
871060dda12d,4,2 Zona II,ACC,missing_params,0,2024-05-01T14:00,2024-05-01T11:00:01,2024-05-01T12:00:01,1
3ec2ea5aba8b,4,3 Bis Zona I,ACC,missing_params,0,2024-05-01T14:00,2024-05-01T11:00:01,2024-05-01T12:00:01,1
bf2a63f1e3bb,4,4 Oltenita Placare,ACC,missing_params,0,2024-05-01T14:00,2024-05-01T11:00:01,2024-05-01T12:00:01,1
ebb2a9c8be2b,4,5 Berceni Oltenița,ACC,missing_params,0,2024-05-01T14:00,2024-05-01T11:00:01,2024-05-01T13:00:01,1
2b820f8d857d,4,Livada Noua,ACC,missing_params,0,2024-05-01T14:00,2024-05-01T11:00:01,2024-05-01T12:00:01,1
3b93954f9478,2,4 Cheile Zanoagei,ACC,breakdown,0,2024-05-01T23:30,2024-05-01T13:00:01,2024-05-01T16:00:01,1
95023c7c3068,2,Chiristigii,ACC,missing_params,0,2024-05-01T19:30,2024-05-01T13:00:01,2024-05-01T18:00:01,1
3b6c1688c2ee,2,Luncsoara,ACC,breakdown,0,2024-05-01T23:30,2024-05-01T13:00:01,2024-05-01T18:00:01,1
23d2fd2d43c4,6,SC 1/2 - Partial,ACC,other,0,2024-05-01T23:30,2024-05-01T13:00:01,2024-05-04T06:00:01,0
23d2fd2d43c4,6,SC 1/2 - Partial,ACC,other,1,2024-05-02T10:00,2024-05-02T00:00:01,2024-05-04T06:00:01,0
23d2fd2d43c4,6,SC 1/2 - Partial,ACC,other,2,2024-05-02T23:30,2024-05-02T11:00:01,2024-05-04T06:00:01,0
23d2fd2d43c4,6,SC 1/2 - Partial,ACC,other,3,2024-05-03T23:30,2024-05-03T00:00:01,2024-05-04T06:00:01,0
23d2fd2d43c4,6,SC 1/2 - Partial,ACC,other,4,2024-05-04T10:00,2024-05-04T00:00:01,2024-05-04T06:00:01,1
262fff5af79f,6,10/4,ACC,breakdown,0,2024-05-01T17:00,2024-05-01T14:00:01,2024-05-01T18:00:01,0
c9bb5cd5de25,6,ISCH,ACC,breakdown,0,2024-05-01T23:30,2024-05-01T15:00:01,2024-05-02T01:00:01,0
3abe975490c7,6,REGIE 3,ACC,breakdown,0,2024-05-01T23:30,2024-05-01T15:00:01,2024-05-02T01:00:01,0
9960e6e1034a,6,REGIE 4,ACC,breakdown,0,2024-05-01T23:30,2024-05-01T15:00:01,2024-05-02T01:00:01,0
2e245e4b09cb,6,ZAGANESCU,ACC,breakdown,0,2024-05-01T23:30,2024-05-01T15:00:01,2024-05-02T01:00:01,0
e3a6750b92ed,4,2 Oltenita Placare,ACC,missing_params,0,2024-05-01T23:30,2024-05-01T22:00:01,2024-05-02T00:00:01,0
e64ca05336e9,4,3 Berceni Oltenița,ACC,missing_params,0,2024-05-01T23:30,2024-05-01T22:00:01,2024-05-02T00:00:01,0
dbed9d9d0fc7,4,Livada Noua,ACC,missing_params,0,2024-05-01T23:30,2024-05-01T22:00:01,2024-05-02T00:00:01,0
4c872d1768c2,6,MILITARI - 7 Placare - Partial,ACC,breakdown,0,2024-05-02T20:00,2024-05-02T13:00:01,2024-05-02T19:00:01,1
e0f5b7037b1d,6,SC 7/2 - Partial,ACC,missing_params,0,2024-05-02T23:30,2024-05-02T14:00:01,2024-05-04T09:00:01,0
e0f5b7037b1d,6,SC 7/2 - Partial,ACC,missing_params,1,2024-05-03T23:30,2024-05-03T00:00:01,2024-05-04T09:00:01,0
e0f5b7037b1d,6,SC 7/2 - Partial,ACC,missing_params,2,2024-05-04T10:00,2024-05-04T00:00:01,2024-05-04T09:00:01,1
c56b1f9ed868,5,6 Chirigiu,ACC,breakdown,0,2024-05-03T23:00,2024-05-03T21:00:01,2024-05-04T00:00:01,0
ad724c8f80c4,4,2 Oltenita Placare,ACC,missing_params,0,2024-05-04T23:30,2024-05-04T12:00:01,2024-05-05T01:00:01,0
bd4282231949,4,Livada Noua,ACC,missing_params,0,2024-05-04T23:30,2024-05-04T12:00:01,2024-05-05T01:00:01,0
6f07183d987b,4,2 Berceni Oltenita,ACC,missing_params,0,2024-05-04T23:30,2024-05-04T14:00:01,2024-05-05T01:00:01,0
1d2f8405be81,4,3 Berceni Oltenița,ACC,missing_params,0,2024-05-04T23:30,2024-05-04T14:00:01,2024-05-05T01:00:01,0
d6157b9bb85e,4,Ct Marasesti 6,ACC,breakdown,0,2024-05-04T20:00,2024-05-04T14:00:01,2024-05-04T19:00:02,1
b489483f71f3,6,SC 1/2 - Partial,ACC,missing_params,0,2024-05-04T23:30,2024-05-04T14:00:01,2024-05-04T22:00:01,1
ab18ba9ed5f9,2,1 Colentina Socului,ACC,missing_params,0,2024-05-04T23:30,2024-05-04T16:00:01,2024-05-05T00:00:01,0
e9763387f644,2,4 Colentina Socului,ACC,missing_params,0,2024-05-04T23:30,2024-05-04T16:00:01,2024-05-05T00:00:01,0
