episode_id,sector,pt_name,utility,cause_class,slip_count,estimated_restore,posted_ts,restored_ts,hit
10e7c0317db3,6,MILITARI - 2 Placare,ACC,missing_params,0,2023-06-01T16:30,2023-06-01T00:00:01,2023-06-01T06:00:01,1
523630a0ebf1,4,2 Oltenita Placare,ACC,missing_params,0,2023-06-01T23:30,2023-06-01T09:00:01,2023-06-01T12:00:01,1
e3bb7d2bad30,6,12 Liniei,ACC,missing_params,0,2023-06-01T16:30,2023-06-01T09:00:01,2023-06-02T17:00:01,0
e3bb7d2bad30,6,12 Liniei,ACC,missing_params,1,2023-06-01T23:30,2023-06-01T17:00:02,2023-06-02T17:00:01,0
e3bb7d2bad30,6,12 Liniei,ACC,missing_params,2,2023-06-02T08:00,2023-06-02T00:00:01,2023-06-02T17:00:01,0
e3bb7d2bad30,6,12 Liniei,ACC,missing_params,3,2023-06-02T10:00,2023-06-02T06:00:01,2023-06-02T17:00:01,0
e3bb7d2bad30,6,12 Liniei,ACC,missing_params,4,2023-06-02T16:00,2023-06-02T09:00:01,2023-06-02T17:00:01,0
a4286d55203d,6,2 Îndesirii,ACC,missing_params,0,2023-06-01T16:30,2023-06-01T09:00:01,2023-06-03T09:00:01,0
a4286d55203d,6,2 Îndesirii,ACC,missing_params,1,2023-06-01T23:30,2023-06-01T17:00:02,2023-06-03T09:00:01,0
a4286d55203d,6,2 Îndesirii,ACC,missing_params,2,2023-06-02T08:00,2023-06-02T00:00:01,2023-06-03T09:00:01,0
a4286d55203d,6,2 Îndesirii,ACC,missing_params,3,2023-06-02T10:00,2023-06-02T06:00:01,2023-06-03T09:00:01,0
a4286d55203d,6,2 Îndesirii,ACC,missing_params,4,2023-06-02T16:00,2023-06-02T09:00:01,2023-06-03T09:00:01,0
a4286d55203d,6,2 Îndesirii,ACC,missing_params,5,2023-06-02T23:30,2023-06-02T17:00:01,2023-06-03T09:00:01,0
a4286d55203d,6,2 Îndesirii,ACC,missing_params,6,2023-06-03T23:30,2023-06-02T23:00:02,2023-06-03T09:00:01,1
57de6fc38256,6,3 Dreptății,ACC,missing_params,0,2023-06-01T16:30,2023-06-01T09:00:01,2023-06-03T13:00:01,0
57de6fc38256,6,3 Dreptății,ACC,missing_params,1,2023-06-01T23:30,2023-06-01T17:00:02,2023-06-03T13:00:01,0
57de6fc38256,6,3 Dreptății,ACC,missing_params,2,2023-06-02T08:00,2023-06-02T00:00:01,2023-06-03T13:00:01,0
57de6fc38256,6,3 Dreptății,ACC,missing_params,3,2023-06-02T10:00,2023-06-02T06:00:01,2023-06-03T13:00:01,0
57de6fc38256,6,3 Dreptății,ACC,missing_params,4,2023-06-02T16:00,2023-06-02T09:00:01,2023-06-03T13:00:01,0
57de6fc38256,6,3 Dreptății,ACC,missing_params,5,2023-06-02T23:30,2023-06-02T17:00:01,2023-06-03T13:00:01,0
57de6fc38256,6,3 Dreptății,ACC,missing_params,6,2023-06-03T23:30,2023-06-02T23:00:02,2023-06-03T13:00:01,1
baedadd11c2e,6,MILITARI - 2 Placare,ACC,missing_params,0,2023-06-01T16:30,2023-06-01T09:00:01,2023-06-01T17:00:02,0
e9bda184371f,6,MILITARI - 3 Placare,ACC,missing_params,0,2023-06-01T16:30,2023-06-01T09:00:01,2023-06-01T18:00:01,0
e9bda184371f,6,MILITARI - 3 Placare,ACC,missing_params,1,2023-06-01T23:30,2023-06-01T17:00:02,2023-06-01T18:00:01,1
4795e645f8a3,6,MILITARI - 3A Placare,ACC,missing_params,0,2023-06-01T16:30,2023-06-01T09:00:01,2023-06-01T18:00:01,0
4795e645f8a3,6,MILITARI - 3A Placare,ACC,missing_params,1,2023-06-01T23:30,2023-06-01T17:00:02,2023-06-01T18:00:01,1
850ebdfc5c52,2,3 Petricani,ACC,missing_params,0,2023-06-01T23:30,2023-06-01T12:00:01,2023-06-02T00:00:01,0
0895e590e88a,6,MILITARI - 4 Placare,ACC,missing_params,0,2023-06-01T16:30,2023-06-01T12:00:01,2023-06-01T18:00:01,0
0895e590e88a,6,MILITARI - 4 Placare,ACC,missing_params,1,2023-06-01T23:30,2023-06-01T17:00:02,2023-06-01T18:00:01,1
b03083b0c7d4,6,11 Liniei,ACC,missing_params,0,2023-06-01T16:30,2023-06-01T14:00:01,2023-06-01T17:00:02,0
c3677736444e,6,11 Mărgelelor,ACC,missing_params,0,2023-06-01T23:30,2023-06-01T18:00:01,2023-06-01T20:00:01,1
db27bf5aa838,6,MILITARI - 4 Placare,ACC,missing_params,0,2023-06-01T23:30,2023-06-01T19:00:01,2023-06-02T06:00:01,0
db27bf5aa838,6,MILITARI - 4 Placare,ACC,missing_params,1,2023-06-02T08:00,2023-06-02T00:00:01,2023-06-02T06:00:01,1
e445aa57701e,6,SC 1/3 - Partial,ACC,missing_params,0,2023-06-01T23:30,2023-06-01T23:00:01,2023-06-02T00:00:01,0
edb5945de494,6,SC 4/3 - Partial,ACC,missing_params,0,2023-06-01T23:30,2023-06-01T23:00:01,2023-06-02T00:00:01,0
61a2ed62a247,6,SC 5/2 - Partial,ACC,missing_params,0,2023-06-01T23:30,2023-06-01T23:00:01,2023-06-02T00:00:01,0
8dca89bac6af,5,Marinescu,ACC,missing_params,0,2023-06-02T12:00,2023-06-02T07:00:01,2023-06-06T14:00:01,0
8dca89bac6af,5,Marinescu,ACC,missing_params,1,2023-06-02T23:30,2023-06-02T13:00:01,2023-06-06T14:00:01,0
8dca89bac6af,5,Marinescu,ACC,missing_params,2,2023-06-03T23:30,2023-06-03T00:00:01,2023-06-06T14:00:01,0
8dca89bac6af,5,Marinescu,ACC,missing_params,3,2023-06-04T12:00,2023-06-04T03:00:01,2023-06-06T14:00:01,0
8dca89bac6af,5,Marinescu,ACC,missing_params,4,2023-06-04T23:00,2023-06-04T12:00:01,2023-06-06T14:00:01,0
8dca89bac6af,5,Marinescu,ACC,missing_params,5,2023-06-05T23:00,2023-06-05T00:00:01,2023-06-06T14:00:01,0
8dca89bac6af,5,Marinescu,ACC,missing_params,6,2023-06-06T12:00,2023-06-05T23:00:01,2023-06-06T14:00:01,0
8dca89bac6af,5,Marinescu,ACC,missing_params,7,2023-06-06T23:30,2023-06-06T13:00:01,2023-06-06T14:00:01,1
bb9bdf175fe8,6,MILITARI - 4 Placare,ACC,missing_params,0,2023-06-02T16:00,2023-06-02T09:00:01,2023-06-02T17:00:01,0
44dcfbb27dd2,6,12 Maratonului,ACC,missing_params,0,2023-06-02T16:00,2023-06-02T10:00:01,2023-06-02T17:00:01,0
1fef6cdc0558,6,15 Apusului,ACC,missing_params,0,2023-06-02T16:00,2023-06-02T10:00:01,2023-06-03T10:00:01,0
1fef6cdc0558,6,15 Apusului,ACC,missing_params,1,2023-06-02T23:30,2023-06-02T17:00:01,2023-06-03T10:00:01,0
1fef6cdc0558,6,15 Apusului,ACC,missing_params,2,2023-06-03T23:30,2023-06-02T23:00:02,2023-06-03T10:00:01,1
7dd2a6d6d80b,6,9 Placare-T,ACC,missing_params,0,2023-06-02T16:00,2023-06-02T10:00:01,2023-06-02T17:00:01,0
cb7a8bf44a2c,6,MILITARI - 9 Placare,ACC,missing_params,0,2023-06-02T16:00,2023-06-02T10:00:01,2023-06-02T17:00:01,0
dfb963908347,6,SC 4/5,ACC,missing_params,0,2023-06-02T16:00,2023-06-02T10:00:01,2023-06-03T09:00:01,0
dfb963908347,6,SC 4/5,ACC,missing_params,1,2023-06-02T23:30,2023-06-02T17:00:01,2023-06-03T09:00:01,0
dfb963908347,6,SC 4/5,ACC,missing_params,2,2023-06-03T23:30,2023-06-02T23:00:02,2023-06-03T09:00:01,1
403c9cb75bc5,6,SC 1/3 - Partial,ACC,missing_params,0,2023-06-02T19:00,2023-06-02T12:00:01,2023-06-03T09:00:01,0
403c9cb75bc5,6,SC 1/3 - Partial,ACC,missing_params,1,2023-06-02T23:30,2023-06-02T19:00:01,2023-06-03T09:00:01,0
403c9cb75bc5,6,SC 1/3 - Partial,ACC,missing_params,2,2023-06-03T10:00,2023-06-03T00:00:01,2023-06-03T09:00:01,1
d9be5bc9964b,3,IAGSC,ACC,breakdown,0,2023-06-02T15:30,2023-06-02T13:00:01,2023-06-02T16:00:01,0
814edd9742bd,2,3 Petricani,ACC,missing_params,0,2023-06-02T23:30,2023-06-02T15:00:01,2023-06-03T07:00:01,0
814edd9742bd,2,3 Petricani,ACC,missing_params,1,2023-06-03T10:00,2023-06-03T00:00:01,2023-06-03T07:00:01,1
ffb682d72196,2,Ziduri Mosi,ACC,missing_params,0,2023-06-02T23:30,2023-06-02T15:00:01,2023-06-02T17:00:01,1
036359b4f9f5,4,1 Serban Voda,ACC,missing_params,0,2023-06-02T19:00,2023-06-02T15:00:01,2023-06-03T00:00:01,0
036359b4f9f5,4,1 Serban Voda,ACC,missing_params,1,2023-06-02T23:30,2023-06-02T20:00:01,2023-06-03T00:00:01,0
702d4243e2f1,4,2 Serban Voda,ACC,missing_params,0,2023-06-02T19:00,2023-06-02T15:00:01,2023-06-03T00:00:01,0
702d4243e2f1,4,2 Serban Voda,ACC,missing_params,1,2023-06-02T23:30,2023-06-02T20:00:01,2023-06-03T00:00:01,0
7d43f036eb16,4,5 Zona II,ACC,missing_params,0,2023-06-02T19:00,2023-06-02T15:00:01,2023-06-03T00:00:01,0
7d43f036eb16,4,5 Zona II,ACC,missing_params,1,2023-06-02T23:30,2023-06-02T20:00:01,2023-06-03T00:00:01,0
f9aa2adf3d45,4,6 Brancoveanu,ACC,missing_params,0,2023-06-02T19:00,2023-06-02T15:00:01,2023-06-03T00:00:01,0
f9aa2adf3d45,4,6 Brancoveanu,ACC,missing_params,1,2023-06-02T23:30,2023-06-02T20:00:01,2023-06-03T00:00:01,0
fe06ee866fe2,6,SC 5/2 - Partial,ACC,missing_params,0,2023-06-02T19:00,2023-06-02T15:00:01,2023-06-03T09:00:01,0
fe06ee866fe2,6,SC 5/2 - Partial,ACC,missing_params,1,2023-06-02T23:30,2023-06-02T19:00:01,2023-06-03T09:00:01,0
fe06ee866fe2,6,SC 5/2 - Partial,ACC,missing_params,2,2023-06-03T10:00,2023-06-03T00:00:01,2023-06-03T09:00:01,1
bf53dcded1d5,4,1 Oltenita Placare,ACC,missing_params,0,2023-06-02T23:30,2023-06-02T20:00:01,2023-06-03T00:00:01,0
ce9546c97ab0,4,2 Giurgiu,ACC,missing_params,0,2023-06-02T23:30,2023-06-02T20:00:01,2023-06-03T00:00:01,0
2c04daef52b1,4,2 Oltenita Placare,ACC,missing_params,0,2023-06-02T23:30,2023-06-02T20:00:01,2023-06-03T00:00:01,0
