snapshot_ts,status,observations
2025-07-01T09:00:01,ok,46
2025-07-01T10:00:02,ok,74
2025-07-01T11:00:01,ok,83
2025-07-01T12:00:01,ok,90
2025-07-01T13:00:01,ok,116
2025-07-01T14:00:01,ok,111
2025-07-01T15:00:01,ok,80
2025-07-01T16:00:02,ok,76
2025-07-01T17:00:01,ok,75
2025-07-01T18:00:01,ok,74
2025-07-01T19:00:01,ok,73
2025-07-01T20:00:01,ok,130
2025-07-02T06:00:02,ok,72
2025-07-02T09:00:01,ok,77
2025-07-02T10:00:01,ok,99
2025-07-02T11:00:01,ok,100
2025-07-02T12:00:01,ok,100
2025-07-02T13:00:01,ok,96
2025-07-02T14:00:01,ok,93
2025-07-02T15:00:01,ok,90
2025-07-02T16:00:01,ok,91
2025-07-02T18:00:01,ok,88
2025-07-02T22:00:01,ok,77
2025-07-02T23:00:02,ok,74
2025-07-03T00:00:01,ok,73
2025-07-03T09:00:01,ok,83
2025-07-03T10:00:01,ok,92
2025-07-03T11:00:01,ok,98
2025-07-03T12:00:01,ok,93
2025-07-03T14:00:01,ok,87
2025-07-03T15:00:01,ok,83
2025-07-03T16:00:01,ok,74
2025-07-03T17:00:01,ok,68
2025-07-03T18:00:01,ok,67
2025-07-03T19:00:01,ok,66
2025-07-03T20:00:01,ok,68
2025-07-03T21:00:01,ok,59
2025-07-03T22:00:01,ok,56
2025-07-03T23:00:01,ok,55
2025-07-04T00:00:01,ok,55
2025-07-04T01:00:01,ok,56
2025-07-04T03:00:01,ok,49
2025-07-04T06:00:01,ok,46
2025-07-04T09:00:01,ok,50
2025-07-04T11:00:01,ok,55
2025-07-04T12:00:01,ok,56
2025-07-04T13:00:01,ok,51
2025-07-04T14:00:01,ok,48
2025-07-04T15:00:01,ok,39
2025-07-04T17:00:01,ok,32
2025-07-04T18:00:01,ok,33
2025-07-04T19:00:01,ok,33
2025-07-04T20:00:01,ok,36
2025-07-04T21:00:01,ok,32
2025-07-04T22:00:01,ok,37
2025-07-05T00:00:01,ok,27
2025-07-05T01:00:01,ok,34
2025-07-05T03:00:01,ok,31
2025-07-05T06:00:01,ok,18
2025-07-05T09:00:02,ok,19
2025-07-05T10:00:01,ok,18
2025-07-05T11:00:01,ok,16
2025-07-05T13:00:01,ok,15
2025-07-05T14:00:01,ok,16
2025-07-05T17:00:01,ok,16
2025-07-05T20:00:01,ok,17
2025-07-06T00:00:01,ok,16
2025-07-06T02:00:01,ok,16
2025-07-06T06:00:01,ok,15
2025-07-06T07:00:01,ok,13
2025-07-06T09:00:01,ok,14
2025-07-06T10:00:01,ok,15
2025-07-06T11:00:01,ok,16
2025-07-06T14:00:01,ok,18
2025-07-06T17:00:01,ok,18
2025-07-06T20:00:01,ok,20
2025-07-06T22:00:01,ok,19
2025-07-06T23:00:01,ok,19
2025-07-07T07:00:01,ok,19
2025-07-07T09:00:01,ok,27
2025-07-07T10:00:01,ok,74
2025-07-07T11:00:01,ok,83
2025-07-07T12:00:02,ok,109
2025-07-07T13:00:01,ok,108
2025-07-07T14:00:01,ok,104
2025-07-07T15:00:01,ok,100
2025-07-07T17:00:01,ok,74
2025-07-07T18:00:01,ok,73
2025-07-07T20:00:01,ok,74
2025-07-07T21:00:01,ok,74
2025-07-08T00:00:01,ok,74
2025-07-08T05:00:01,ok,75
2025-07-08T06:00:02,ok,73
2025-07-08T08:00:01,ok,76
2025-07-08T09:00:01,ok,82
2025-07-08T10:00:01,ok,90
2025-07-08T11:00:01,ok,92
2025-07-08T12:00:01,ok,91
2025-07-08T13:00:01,ok,84
2025-07-08T14:00:01,ok,77
2025-07-08T15:00:01,ok,73
2025-07-08T16:00:01,ok,69
2025-07-08T17:00:01,ok,61
2025-07-08T18:00:01,ok,67
2025-07-08T20:00:01,ok,68
2025-07-08T21:00:01,ok,61
2025-07-08T22:00:01,ok,62
2025-07-09T00:00:01,ok,62
2025-07-09T06:00:01,ok,61
2025-07-09T09:00:01,ok,135
2025-07-09T10:00:01,ok,142
2025-07-09T11:00:01,ok,144
2025-07-09T12:00:02,ok,143
2025-07-09T13:00:01,ok,136
2025-07-09T14:00:01,ok,133
2025-07-09T15:00:01,ok,71
2025-07-09T16:00:01,ok,69
2025-07-09T18:00:01,ok,71
2025-07-09T19:00:01,ok,69
2025-07-09T20:00:01,ok,65
2025-07-09T22:00:01,ok,66
2025-07-10T00:00:01,ok,64
2025-07-10T01:00:01,ok,64
2025-07-10T02:00:01,ok,62
2025-07-10T06:00:01,ok,59
2025-07-10T08:00:01,ok,58
2025-07-10T09:00:01,ok,69
2025-07-10T10:00:01,ok,79
2025-07-10T11:00:01,ok,81
2025-07-10T12:00:01,ok,78
2025-07-10T13:00:01,ok,75
2025-07-10T14:00:01,ok,72
2025-07-10T15:00:01,ok,61
2025-07-10T16:00:01,ok,61
2025-07-10T17:00:01,ok,59
2025-07-10T18:00:01,ok,57
2025-07-10T19:00:01,ok,56
2025-07-10T20:00:01,ok,53
2025-07-10T21:00:01,ok,52
2025-07-10T23:00:01,ok,48
2025-07-11T01:00:01,ok,46
2025-07-11T09:00:01,ok,54
2025-07-11T10:00:01,ok,57
2025-07-11T11:00:01,ok,58
2025-07-11T12:00:01,ok,54
2025-07-11T13:00:01,ok,51
2025-07-11T14:00:01,ok,47
2025-07-11T15:00:01,ok,45
2025-07-11T17:00:01,ok,43
2025-07-11T18:00:01,ok,41
2025-07-11T20:00:01,ok,40
2025-07-12T00:00:01,ok,40
2025-07-12T09:00:01,ok,40
2025-07-12T12:00:01,ok,40
2025-07-12T13:00:01,ok,41
2025-07-12T16:00:01,ok,40
2025-07-12T18:00:01,ok,40
2025-07-12T19:00:01,ok,40
2025-07-12T21:00:01,ok,21
2025-07-12T22:00:01,ok,17
2025-07-12T23:00:01,ok,13
2025-07-13T00:00:01,ok,12
2025-07-13T01:00:01,ok,9
2025-07-13T05:00:01,ok,5
2025-07-13T06:00:01,ok,4
2025-07-13T13:00:01,ok,4
2025-07-13T15:00:01,ok,5
2025-07-13T16:00:01,ok,6
2025-07-13T18:00:01,ok,5
