snapshot_ts,status,observations
2025-01-01T00:00:01,empty,0
2025-01-01T01:00:01,ok,1
2025-01-01T09:00:01,ok,1
2025-01-01T10:00:01,ok,9
2025-01-01T11:00:01,ok,29
2025-01-01T12:00:01,ok,54
2025-01-01T13:00:01,ok,61
2025-01-01T14:00:01,ok,38
2025-01-01T15:00:01,ok,29
2025-01-01T16:00:02,ok,9
2025-01-01T17:00:01,ok,2
2025-01-01T18:00:01,ok,2
2025-01-01T19:00:01,ok,2
2025-01-01T21:00:01,ok,1
2025-01-02T00:00:01,empty,0
2025-01-02T17:00:01,ok,1
2025-01-02T18:00:01,ok,26
2025-01-02T19:00:01,ok,37
2025-01-02T20:00:01,ok,44
2025-01-02T21:00:01,ok,51
2025-01-02T22:00:01,ok,58
2025-01-02T23:00:01,ok,59
2025-01-03T00:00:01,ok,9
2025-01-03T02:00:01,ok,11
2025-01-03T04:00:01,ok,12
2025-01-03T06:00:01,ok,12
2025-01-03T07:00:01,ok,20
2025-01-03T08:00:01,ok,21
2025-01-03T09:00:01,ok,22
2025-01-03T10:00:01,ok,22
2025-01-03T11:00:01,ok,21
2025-01-03T12:00:01,ok,20
2025-01-03T13:00:01,ok,19
2025-01-03T14:00:01,ok,4
2025-01-03T15:00:01,ok,2
2025-01-03T16:00:01,ok,16
2025-01-03T18:00:02,ok,35
2025-01-03T20:00:01,ok,55
2025-01-03T21:00:02,ok,54
2025-01-04T00:00:01,ok,64
2025-01-04T06:00:01,ok,39
2025-01-04T07:00:01,ok,7
2025-01-04T09:00:01,empty,0
2025-01-04T11:00:01,ok,1
2025-01-04T14:00:01,empty,0
2025-01-04T18:00:01,ok,2
2025-01-04T19:00:01,ok,2
2025-01-05T11:00:01,ok,5
2025-01-05T13:00:01,ok,5
2025-01-05T14:00:01,ok,2
2025-01-05T15:00:01,ok,1
2025-01-05T17:00:01,empty,0
2025-01-06T12:00:01,ok,1
2025-01-06T17:00:01,ok,1
2025-01-06T18:00:01,empty,0
2025-01-08T09:00:01,ok,1
2025-01-08T10:00:01,ok,22
2025-01-08T11:00:01,ok,29
2025-01-08T12:00:01,ok,31
2025-01-08T13:00:01,ok,31
2025-01-08T14:00:01,ok,26
2025-01-08T15:00:01,ok,29
2025-01-08T16:00:01,ok,29
2025-01-08T17:00:01,ok,30
2025-01-08T18:00:01,ok,30
2025-01-08T19:00:01,ok,28
2025-01-08T20:00:01,ok,26
2025-01-09T00:00:01,ok,26
2025-01-09T05:00:02,ok,16
2025-01-09T09:00:01,ok,25
2025-01-09T10:00:01,ok,48
2025-01-09T11:00:01,ok,51
2025-01-09T12:00:01,ok,44
2025-01-09T13:00:01,ok,37
2025-01-09T14:00:01,ok,32
2025-01-09T15:00:01,ok,30
2025-01-09T16:00:01,ok,27
2025-01-09T17:00:01,ok,27
2025-01-09T18:00:01,ok,27
2025-01-09T20:00:01,ok,26
2025-01-09T21:00:01,ok,25
2025-01-10T00:00:01,ok,25
2025-01-10T01:00:01,ok,24
2025-01-10T09:00:01,ok,32
2025-01-10T10:00:01,ok,46
2025-01-10T11:00:01,ok,48
2025-01-10T12:00:01,ok,43
2025-01-10T13:00:01,ok,39
2025-01-10T14:00:01,ok,37
2025-01-10T15:00:01,ok,36
2025-01-10T16:00:01,ok,35
2025-01-10T18:00:01,ok,53
2025-01-10T19:00:01,ok,49
2025-01-10T20:00:01,ok,44
2025-01-10T21:00:01,ok,41
2025-01-10T22:00:01,ok,27
2025-01-10T23:00:01,ok,19
2025-01-11T00:00:01,ok,16
2025-01-11T01:00:01,ok,16
2025-01-11T02:00:01,ok,12
2025-01-11T05:00:01,ok,9
2025-01-11T09:00:01,ok,8
2025-01-11T11:00:01,ok,5
2025-01-11T12:00:01,ok,5
2025-01-11T13:00:01,ok,6
2025-01-11T14:00:01,ok,4
2025-01-11T18:00:01,ok,2
2025-01-11T21:00:01,ok,5
2025-01-11T22:00:01,ok,2
2025-01-11T23:00:01,ok,1
2025-01-12T06:00:01,ok,2
2025-01-12T09:00:01,ok,3
2025-01-12T10:00:01,ok,2
2025-01-12T13:00:01,ok,1
2025-01-12T15:00:01,ok,2
2025-01-12T17:00:01,ok,1
2025-01-13T09:00:01,ok,9
2025-01-13T10:00:01,ok,41
2025-01-13T11:00:01,ok,56
2025-01-13T12:00:01,ok,54
2025-01-13T14:00:01,ok,52
2025-01-13T15:00:01,ok,45
2025-01-13T16:00:01,ok,41
2025-01-13T18:00:01,ok,39
2025-01-13T19:00:01,ok,37
2025-01-13T20:00:01,ok,36
2025-01-13T22:00:01,ok,27
2025-01-14T00:00:01,ok,24
2025-01-14T01:00:01,ok,23
2025-01-14T08:00:01,ok,30
2025-01-14T09:00:01,ok,48
2025-01-14T10:00:01,ok,96
2025-01-14T11:00:01,ok,78
2025-01-14T12:00:01,ok,61
2025-01-14T13:00:01,ok,45
2025-01-14T14:00:01,ok,41
2025-01-14T15:00:01,ok,36
2025-01-14T16:00:01,ok,35
2025-01-14T17:00:01,ok,45
2025-01-14T18:00:01,ok,44
2025-01-14T19:00:01,ok,53
2025-01-14T20:00:01,ok,52
2025-01-14T21:00:01,ok,64
2025-01-14T22:00:01,ok,65
2025-01-14T23:00:01,ok,60
2025-01-15T00:00:01,ok,30
2025-01-15T06:00:01,ok,27
2025-01-15T09:00:01,ok,40
2025-01-15T10:00:01,ok,71
2025-01-15T11:00:01,ok,68
2025-01-15T12:00:01,ok,73
2025-01-15T13:00:01,ok,64
2025-01-15T14:00:01,ok,59
2025-01-15T15:00:01,ok,52
2025-01-15T16:00:01,ok,47
2025-01-15T17:00:01,ok,45
2025-01-15T18:00:01,ok,39
2025-01-15T19:00:01,ok,34
2025-01-15T21:00:01,ok,31
2025-01-15T22:00:01,ok,32
2025-01-16T00:00:01,ok,30
2025-01-16T01:00:01,ok,29
2025-01-16T07:00:01,ok,26
2025-01-16T09:00:01,ok,38
2025-01-16T10:00:01,ok,115
2025-01-16T11:00:01,ok,116
2025-01-16T12:00:01,ok,65
2025-01-16T13:00:01,ok,71
2025-01-16T14:00:01,ok,62
2025-01-16T15:00:01,ok,59
2025-01-16T16:00:01,ok,58
2025-01-16T17:00:01,ok,63
2025-01-16T18:00:01,ok,59
2025-01-16T19:00:01,ok,53
2025-01-16T20:00:01,ok,51
2025-01-16T21:00:01,ok,46
2025-01-16T22:00:01,ok,41
2025-01-16T23:00:01,ok,34
2025-01-17T00:00:01,ok,26
2025-01-17T02:00:01,ok,26
2025-01-17T06:00:01,ok,26
2025-01-17T07:00:01,ok,26
2025-01-17T08:00:01,ok,25
2025-01-17T09:00:01,ok,31
2025-01-17T10:00:01,ok,45
2025-01-17T11:00:01,ok,49
2025-01-17T12:00:01,ok,46
2025-01-17T13:00:01,ok,38
2025-01-17T15:00:01,ok,31
2025-01-17T16:00:01,ok,29
2025-01-17T17:00:01,ok,29
2025-01-17T18:00:01,ok,26
2025-01-17T19:00:01,ok,24
2025-01-17T20:00:01,ok,22
2025-01-17T21:00:01,ok,32
2025-01-17T22:00:01,ok,34
2025-01-18T00:00:01,ok,25
2025-01-18T07:00:01,ok,18
2025-01-18T10:00:01,ok,18
2025-01-18T11:00:01,ok,20
2025-01-18T13:00:01,ok,21
2025-01-18T14:00:01,ok,21
2025-01-18T15:00:01,ok,20
2025-01-18T16:00:01,ok,20
2025-01-18T17:00:01,ok,19
2025-01-18T18:00:01,ok,20
2025-01-18T19:00:01,ok,26
2025-01-18T20:00:01,ok,28
2025-01-18T21:00:01,ok,32
2025-01-18T22:00:01,ok,31
2025-01-19T00:00:01,ok,16
2025-01-19T07:00:01,ok,17
2025-01-19T08:00:01,ok,16
2025-01-19T09:00:01,ok,28
2025-01-19T10:00:02,ok,27
2025-01-19T11:00:01,ok,45
2025-01-19T14:00:01,ok,91
2025-01-19T15:00:01,ok,100
2025-01-19T16:00:01,ok,103
2025-01-19T17:00:01,ok,99
2025-01-19T18:00:01,ok,99
2025-01-19T19:00:01,ok,115
2025-01-19T20:00:01,ok,124
2025-01-19T21:00:01,ok,135
2025-01-19T22:00:01,ok,138
2025-01-19T23:00:01,ok,136
2025-01-20T00:00:01,ok,123
2025-01-20T01:00:01,ok,125
2025-01-20T02:00:01,ok,122
2025-01-20T07:00:01,ok,118
2025-01-20T08:00:01,ok,129
2025-01-20T09:00:01,ok,146
2025-01-20T10:00:01,ok,149
2025-01-20T11:00:01,ok,157
2025-01-20T12:00:01,ok,175
2025-01-20T13:00:01,ok,167
2025-01-20T14:00:01,ok,167
2025-01-20T15:00:01,ok,163
2025-01-20T18:00:01,ok,160
2025-01-20T19:00:01,ok,183
2025-01-20T20:00:01,ok,185
2025-01-20T21:00:01,ok,190
2025-01-20T22:00:01,ok,201
2025-01-20T23:00:01,ok,209
2025-01-21T00:00:01,ok,208
2025-01-21T01:00:01,ok,214
2025-01-21T02:00:01,ok,205
2025-01-21T03:00:01,ok,202
2025-01-21T06:00:01,ok,193
2025-01-21T07:00:01,ok,195
2025-01-21T08:00:01,ok,198
2025-01-21T09:00:01,ok,218
2025-01-21T10:00:01,ok,230
2025-01-21T11:00:01,ok,232
2025-01-21T12:00:01,ok,226
2025-01-21T13:00:01,ok,226
2025-01-21T14:00:01,ok,231
2025-01-21T15:00:01,ok,226
2025-01-21T16:00:01,ok,224
2025-01-21T18:00:01,ok,219
2025-01-21T19:00:01,ok,217
2025-01-21T20:00:01,ok,218
2025-01-21T21:00:01,ok,245
2025-01-21T22:00:01,ok,249
2025-01-22T00:00:01,ok,226
2025-01-22T01:00:02,ok,220
2025-01-22T06:00:01,ok,213
2025-01-22T07:00:01,ok,199
2025-01-22T09:00:01,ok,212
2025-01-22T10:00:01,ok,232
2025-01-22T11:00:01,ok,238
2025-01-22T12:00:01,ok,243
2025-01-22T13:00:01,ok,246
