snapshot_ts,status,observations
2023-02-01T01:00:01,ok,21
2023-02-01T06:00:01,ok,22
2023-02-01T07:00:01,ok,4
2023-02-01T09:00:01,ok,7
2023-02-01T10:00:01,ok,40
2023-02-01T11:00:01,ok,44
2023-02-01T12:00:01,ok,44
2023-02-01T13:00:01,ok,38
2023-02-01T14:00:01,ok,46
2023-02-01T15:00:01,ok,43
2023-02-01T16:00:01,ok,39
2023-02-01T17:00:01,ok,38
2023-02-01T18:00:01,ok,39
2023-02-01T19:00:01,ok,43
2023-02-01T20:00:01,ok,44
2023-02-01T21:00:01,ok,37
2023-02-01T22:00:01,ok,40
2023-02-01T23:00:01,ok,39
2023-02-02T00:00:01,ok,37
2023-02-02T01:00:01,ok,36
2023-02-02T02:00:01,ok,34
2023-02-02T06:00:01,ok,31
2023-02-02T07:00:01,ok,29
2023-02-02T08:00:01,ok,23
2023-02-02T09:00:01,ok,28
2023-02-02T10:00:01,ok,40
2023-02-02T11:00:01,ok,51
2023-02-02T12:00:01,ok,44
2023-02-02T13:00:01,ok,40
2023-02-02T14:00:01,ok,33
2023-02-02T15:00:01,ok,25
2023-02-02T16:00:01,ok,29
2023-02-02T17:00:01,ok,29
2023-02-02T18:00:01,ok,28
2023-02-02T19:00:01,ok,27
2023-02-02T20:00:01,ok,26
2023-02-02T21:00:01,ok,25
2023-02-02T22:00:01,ok,25
2023-02-02T23:00:01,ok,24
2023-02-03T00:00:01,ok,25
2023-02-03T01:00:02,ok,24
2023-02-03T02:00:02,ok,22
2023-02-03T03:00:01,ok,21
2023-02-03T06:00:01,ok,16
2023-02-03T09:00:02,ok,23
2023-02-03T10:00:01,ok,24
2023-02-03T11:00:01,ok,31
2023-02-03T12:00:01,ok,41
2023-02-03T13:00:01,ok,39
2023-02-03T14:00:01,ok,36
2023-02-03T15:00:01,ok,34
2023-02-03T16:00:01,ok,29
2023-02-03T17:00:01,ok,29
2023-02-03T19:00:01,ok,32
2023-02-03T21:00:01,ok,21
2023-02-03T22:00:01,ok,22
2023-02-04T00:00:01,ok,15
2023-02-04T02:00:01,ok,9
2023-02-04T07:00:01,ok,8
2023-02-04T08:00:01,ok,7
2023-02-04T09:00:01,ok,8
2023-02-04T12:00:01,ok,7
2023-02-04T13:00:01,ok,7
2023-02-04T14:00:01,ok,9
2023-02-04T16:00:01,ok,8
2023-02-04T17:00:01,ok,7
2023-02-04T18:00:01,ok,5
2023-02-04T20:00:01,ok,4
2023-02-04T22:00:01,ok,5
2023-02-05T00:00:01,ok,4
2023-02-05T08:00:01,ok,5
2023-02-05T09:00:02,ok,4
2023-02-05T10:00:01,ok,4
2023-02-05T15:00:01,ok,3
2023-02-05T16:00:01,ok,3
2023-02-05T18:00:01,ok,4
2023-02-05T20:00:01,ok,2
2023-02-05T21:00:01,ok,19
2023-02-05T22:00:01,ok,20
2023-02-06T00:00:01,ok,10
2023-02-06T06:00:01,ok,7
2023-02-06T07:00:01,ok,2
2023-02-06T08:00:01,ok,3
2023-02-06T09:00:01,ok,19
2023-02-06T10:00:02,ok,33
2023-02-06T11:00:02,ok,37
2023-02-06T12:00:01,ok,36
2023-02-06T13:00:01,ok,32
2023-02-06T14:00:01,ok,23
2023-02-06T15:00:01,ok,19
2023-02-06T16:00:01,ok,19
2023-02-06T17:00:02,ok,16
2023-02-06T18:00:01,ok,13
2023-02-06T19:00:01,ok,9
2023-02-06T20:00:01,ok,8
2023-02-06T21:00:01,ok,6
2023-02-06T23:00:01,ok,3
2023-02-07T00:00:01,ok,5
2023-02-07T01:00:01,ok,3
2023-02-07T06:00:01,ok,2
2023-02-07T07:00:01,ok,3
2023-02-07T08:00:01,ok,3
2023-02-07T09:00:01,ok,17
2023-02-07T10:00:01,ok,42
2023-02-07T11:00:01,ok,42
2023-02-07T12:00:01,ok,45
2023-02-07T13:00:01,ok,37
2023-02-07T14:00:01,ok,36
