snapshot_ts,status,observations
2023-09-01T00:00:01,ok,71
2023-09-01T01:00:01,ok,69
2023-09-01T02:00:01,ok,68
2023-09-01T07:00:01,ok,72
2023-09-01T08:00:01,ok,72
2023-09-01T09:00:01,ok,80
2023-09-01T10:00:01,ok,85
2023-09-01T11:00:01,ok,89
2023-09-01T12:00:01,ok,80
2023-09-01T13:00:01,ok,78
2023-09-01T14:00:01,ok,74
2023-09-01T15:00:01,ok,71
2023-09-01T16:00:01,ok,66
2023-09-01T17:00:01,ok,54
2023-09-01T18:00:01,ok,58
2023-09-01T19:00:01,ok,58
2023-09-01T20:00:01,ok,56
2023-09-01T21:00:01,ok,52
2023-09-01T22:00:01,ok,51
2023-09-01T23:00:01,ok,51
2023-09-02T00:00:01,ok,45
2023-09-02T01:00:01,ok,41
2023-09-02T02:00:01,ok,39
2023-09-02T05:00:01,ok,39
2023-09-02T06:00:01,ok,37
2023-09-02T07:00:01,ok,23
2023-09-02T08:00:01,ok,22
2023-09-02T09:00:01,ok,21
2023-09-02T10:00:01,ok,22
2023-09-02T13:00:02,ok,22
2023-09-02T15:00:01,ok,22
2023-09-02T17:00:01,ok,23
2023-09-02T18:00:01,ok,23
2023-09-03T00:00:01,ok,22
2023-09-03T17:00:01,ok,21
2023-09-03T19:00:01,ok,34
2023-09-03T21:00:01,ok,41
2023-09-03T23:00:02,ok,44
2023-09-04T01:00:01,ok,30
2023-09-04T06:00:01,ok,28
2023-09-04T07:00:02,ok,40
2023-09-04T08:00:01,ok,41
2023-09-04T09:00:01,ok,59
2023-09-04T10:00:01,ok,69
2023-09-04T11:00:01,ok,84
2023-09-04T12:00:01,ok,101
2023-09-04T13:00:01,ok,107
2023-09-04T14:00:02,ok,86
2023-09-04T15:00:01,ok,88
2023-09-04T16:00:01,ok,67
2023-09-04T17:00:01,ok,65
2023-09-04T18:00:01,ok,72
2023-09-04T19:00:01,ok,73
2023-09-04T20:00:01,ok,71
2023-09-04T21:00:01,ok,88
2023-09-04T22:00:01,ok,94
2023-09-05T00:00:01,ok,69
2023-09-05T01:00:01,ok,67
2023-09-05T07:00:01,ok,90
2023-09-05T09:00:01,ok,107
2023-09-05T10:00:01,ok,120
2023-09-05T11:00:01,ok,117
2023-09-05T12:00:01,ok,130
2023-09-05T13:00:01,ok,108
2023-09-05T14:00:01,ok,93
2023-09-05T15:00:01,ok,79
2023-09-05T16:00:01,ok,73
2023-09-05T17:00:01,ok,80
2023-09-05T18:00:01,ok,92
2023-09-05T20:00:01,ok,97
2023-09-05T21:00:01,ok,121
2023-09-05T22:00:01,ok,128
2023-09-05T23:00:01,ok,129
2023-09-06T00:00:01,ok,62
2023-09-06T01:00:01,ok,61
2023-09-06T06:00:01,ok,76
2023-09-06T07:00:01,ok,68
2023-09-06T08:00:01,ok,71
2023-09-06T09:00:01,ok,80
2023-09-06T10:00:01,ok,88
2023-09-06T11:00:01,ok,87
2023-09-06T12:00:01,ok,86
2023-09-06T13:00:01,ok,80
2023-09-06T14:00:01,ok,70
2023-09-06T15:00:01,ok,55
2023-09-06T16:00:01,ok,54
2023-09-06T17:00:01,ok,53
2023-09-06T19:00:01,ok,61
2023-09-06T20:00:01,ok,66
