snapshot_ts,status,observations
2022-04-01T01:00:01,ok,35
2022-04-01T06:00:01,ok,34
2022-04-01T07:00:01,ok,33
2022-04-01T08:00:01,ok,33
2022-04-01T09:00:01,ok,25
2022-04-01T10:00:01,ok,31
2022-04-01T11:00:01,ok,36
2022-04-01T12:00:01,ok,34
2022-04-01T13:00:01,ok,32
2022-04-01T14:00:01,ok,30
2022-04-01T16:00:01,ok,25
2022-04-01T17:00:01,ok,19
2022-04-01T19:00:01,ok,18
2022-04-01T21:00:01,ok,19
2022-04-01T22:00:01,ok,18
2022-04-01T23:00:01,ok,13
2022-04-02T00:00:01,ok,12
2022-04-02T06:00:01,ok,10
2022-04-02T09:00:01,ok,11
2022-04-02T10:00:01,ok,12
2022-04-02T11:00:01,ok,9
2022-04-02T12:00:02,ok,13
2022-04-02T14:00:01,ok,15
2022-04-02T15:00:01,ok,12
2022-04-02T16:00:01,ok,13
2022-04-02T17:00:01,ok,11
2022-04-02T19:00:01,ok,8
2022-04-02T20:00:01,ok,6
2022-04-02T21:00:01,ok,6
2022-04-03T00:00:01,ok,4
2022-04-03T09:00:02,ok,4
2022-04-03T12:00:01,ok,5
2022-04-03T14:00:02,ok,4
2022-04-03T15:00:01,ok,4
2022-04-03T19:00:01,ok,5
2022-04-03T21:00:01,ok,7
2022-04-03T22:00:01,ok,9
2022-04-03T23:00:01,ok,6
2022-04-04T00:00:01,ok,4
2022-04-04T06:00:01,ok,9
2022-04-04T07:00:01,ok,11
2022-04-04T08:00:01,ok,13
2022-04-04T09:00:01,ok,16
2022-04-04T10:00:01,ok,22
2022-04-04T11:00:01,ok,51
2022-04-04T12:00:01,ok,47
2022-04-04T13:00:01,ok,43
2022-04-04T14:00:01,ok,58
2022-04-04T15:00:01,ok,59
2022-04-04T16:00:01,ok,55
2022-04-04T17:00:01,ok,53
2022-04-04T18:00:01,ok,54
2022-04-04T19:00:01,ok,56
2022-04-04T20:00:01,ok,49
2022-04-04T21:00:01,ok,52
2022-04-05T00:00:01,ok,47
2022-04-05T04:00:01,ok,49
2022-04-05T07:00:01,ok,41
2022-04-05T08:00:01,ok,39
2022-04-05T09:00:01,ok,45
2022-04-05T10:00:01,ok,58
2022-04-05T11:00:01,ok,73
2022-04-05T12:00:01,ok,76
2022-04-05T13:00:01,ok,70
2022-04-05T14:00:01,ok,66
2022-04-05T15:00:01,ok,63
2022-04-05T16:00:01,ok,58
2022-04-05T17:00:01,ok,55
2022-04-05T18:00:01,ok,66
2022-04-05T19:00:01,ok,73
2022-04-05T20:00:01,ok,85
2022-04-05T21:00:01,ok,90
2022-04-05T22:00:01,ok,106
2022-04-05T23:00:01,ok,93
2022-04-06T00:00:01,ok,59
2022-04-06T02:00:01,ok,57
2022-04-06T06:00:01,ok,49
2022-04-06T07:00:01,ok,50
2022-04-06T08:00:01,ok,62
2022-04-06T09:00:01,ok,194
2022-04-06T10:00:01,ok,214
2022-04-06T11:00:02,ok,221
2022-04-06T12:00:01,ok,215
2022-04-06T13:00:01,ok,184
2022-04-06T14:00:01,ok,157
2022-04-06T15:00:01,ok,160
2022-04-06T16:00:01,ok,147
2022-04-06T17:00:01,ok,138
2022-04-06T18:00:01,ok,123
2022-04-06T19:00:01,ok,125
2022-04-06T20:00:01,ok,158
2022-04-06T21:00:01,ok,162
2022-04-06T22:00:01,ok,163
2022-04-06T23:00:01,ok,162
2022-04-07T00:00:01,ok,155
2022-04-07T02:00:01,ok,157
2022-04-07T06:00:01,ok,155
2022-04-07T07:00:01,ok,166
2022-04-07T08:00:01,ok,166
2022-04-07T09:00:02,ok,171
2022-04-07T10:00:01,ok,187
2022-04-07T11:00:01,ok,188
2022-04-07T12:00:01,ok,176
2022-04-07T13:00:01,ok,173
