incident_id,cause,first_seen_ts,last_seen_ts
b320e1713ae3,Funcționare deficitară a apei calde de consum din cauza manevrelor de echilibrare hidraulică a rețelei termice,2022-10-01T00:00:01,2022-10-01T23:00:01
240f7c692c4b,Funcționare deficitară a apei calde de consum din cauza manevrelor de echilibrare hidraulică a rețelei termice,2022-10-01T07:00:01,2022-10-01T07:00:01
78eb917d4574,Funcționare deficitară a apei calde de consum din cauza manevrelor de echilibrare hidraulică a rețelei termice,2022-10-01T09:00:01,2022-10-01T09:00:01
f4befcfd781f,Funcționare deficitară a apei calde de consum din cauza manevrelor de echilibrare hidraulică a rețelei termice,2022-10-01T09:00:01,2022-10-01T09:00:01
7e8dcc6255c4,Funcționare deficitară a apei calde de consum din cauza manevrelor de echilibrare hidraulică a rețelei termice,2022-10-01T09:00:01,2022-10-01T09:00:01
3efbda154bc6,Funcționare deficitară a apei calde de consum din cauza manevrelor de echilibrare hidraulică a rețelei termice,2022-10-01T09:00:01,2022-10-01T09:00:01
731e9dca7490,Funcționare deficitară a apei calde de consum din cauza manevrelor de echilibrare hidraulică a rețelei termice,2022-10-01T09:00:01,2022-10-01T09:00:01
0ef8ec995530,Funcționare deficitară a apei calde de consum din cauza manevrelor de echilibrare hidraulică a rețelei termice,2022-10-01T09:00:01,2022-10-01T16:00:01
fbcaae49386a,Funcționare deficitară a apei calde de consum din cauza manevrelor de echilibrare hidraulică a rețelei termice,2022-10-01T09:00:01,2022-10-01T09:00:01
7127c4fcb8e4,Funcționare deficitară a apei calde de consum din cauza manevrelor de echilibrare hidraulică a rețelei termice,2022-10-01T09:00:01,2022-10-01T09:00:01
bfb90b0cab94,Lipsa parametri pentru livrare apă caldă de consum.,2022-10-01T23:00:01,2022-10-01T23:00:01
5445f00c3334,Lipsa parametri pentru livrare apă caldă de consum.,2022-10-02T00:00:02,2022-10-02T08:00:01
ac2ef4a5da72,Remediere avarie rețea secundară pe circuitul de apă caldă de consum,2022-10-02T01:00:01,2022-10-03T13:00:01
6375eb196ae3,Funcționare deficitară a apei calde de consum din cauza manevrelor de echilibrare hidraulică a rețelei termice,2022-10-02T07:00:01,2022-10-02T20:00:01
ca7c593f1033,Funcționare deficitară a apei calde de consum din cauza manevrelor de echilibrare hidraulică a rețelei termice,2022-10-02T07:00:01,2022-10-02T20:00:01
684456174f0b,Funcționare deficitară a apei calde de consum din cauza manevrelor de echilibrare hidraulică a rețelei termice,2022-10-02T07:00:01,2022-10-02T20:00:01
5971868aa507,Lipsa parametri pentru livrare apă caldă de consum.,2022-10-02T08:00:01,2022-10-02T08:00:01
8cdc4b1201c2,Lipsa parametri pentru livrare apă caldă de consum.,2022-10-02T08:00:01,2022-10-02T08:00:01
45e46b787433,Funcționare deficitară a apei calde de consum din cauza manevrelor de echilibrare hidraulică a rețelei termice,2022-10-02T10:00:01,2022-10-02T17:00:01
25b80c827919,Funcționare deficitară a apei calde de consum din cauza manevrelor de echilibrare hidraulică a rețelei termice,2022-10-02T10:00:01,2022-10-02T20:00:01
6f53ca3a1cc8,Funcționare deficitară a apei calde de consum din cauza manevrelor de echilibrare hidraulică a rețelei termice,2022-10-02T10:00:01,2022-10-02T20:00:01
bbf38ae09901,Funcționare deficitară a apei calde de consum din cauza manevrelor de echilibrare hidraulică a rețelei termice,2022-10-02T10:00:01,2022-10-02T20:00:01
8ad76e378906,Funcționare deficitară a apei calde de consum din cauza manevrelor de echilibrare hidraulică a rețelei termice,2022-10-02T12:00:01,2022-10-02T12:00:01
a587f4aeda3a,Avarie CD ACC bl. E3A2 sc.1,2022-10-02T14:00:01,2022-10-02T14:00:01
c8867c9a412e,Funcționare deficitară a apei calde de consum din cauza manevrelor de echilibrare hidraulică a rețelei termice,2022-10-02T20:00:01,2022-10-02T20:00:01
bb51816a19f1,Lipsa parametri pentru livrare apă caldă de consum,2022-10-02T20:00:01,2022-10-02T20:00:01
96b06741de5f,Lipsa parametri pentru livrare apă caldă de consum,2022-10-02T20:00:01,2022-10-02T20:00:01
f7d16e8f357d,Lipsa parametri pentru livrare apă caldă de consum,2022-10-02T20:00:01,2022-10-02T20:00:01
3c97a2f79fe3,Lipsa parametri pentru livrare apă caldă de consum,2022-10-02T20:00:01,2022-10-02T20:00:01
ce63222e7504,Lipsa parametri pentru livrare apă caldă de consum,2022-10-02T20:00:01,2022-10-02T20:00:01
9b2be9a5a6aa,Lipsa parametri pentru livrare apă caldă de consum,2022-10-02T20:00:01,2022-10-02T20:00:01
86355c9facb3,Lipsa parametri pentru livrare apă caldă de consum,2022-10-02T20:00:01,2022-10-02T20:00:01
b028f79f42cf,Lipsa parametri pentru livrare apă caldă de consum,2022-10-02T20:00:01,2022-10-02T20:00:01
2f7771931aa0,Funcționare deficitară a apei calde de consum din cauza manevrelor de echilibrare hidraulică a rețelei termice,2022-10-03T06:00:01,2022-10-03T22:00:01
95eb14e8b1c1,Funcționare deficitară a apei calde de consum din cauza manevrelor de echilibrare hidraulică a rețelei termice,2022-10-03T06:00:01,2022-10-03T22:00:01
3707c7ba51d2,Funcționare deficitară a apei calde de consum din cauza manevrelor de echilibrare hidraulică a rețelei termice,2022-10-03T06:00:01,2022-10-03T22:00:01
3ace775b6003,Funcționare deficitară a apei calde de consum din cauza manevrelor de echilibrare hidraulică a rețelei termice,2022-10-03T06:00:01,2022-10-03T22:00:01
07d7128aa709,Funcționare deficitară a apei calde de consum din cauza manevrelor de echilibrare hidraulică a rețelei termice,2022-10-03T06:00:01,2022-10-03T22:00:01
fa81b46ac07d,Funcționare deficitară a apei calde de consum din cauza manevrelor de echilibrare hidraulică a rețelei termice,2022-10-03T06:00:01,2022-10-03T22:00:01
3ed164d2ff59,Funcționare deficitară a apei calde de consum din cauza manevrelor de echilibrare hidraulică a rețelei termice,2022-10-03T06:00:01,2022-10-03T22:00:01
33e29f4ae2cc,Funcționare deficitară a apei calde de consum din cauza manevrelor de echilibrare hidraulică a rețelei termice,2022-10-03T06:00:01,2022-10-03T22:00:01
30384236fae4,Funcționare deficitară a apei calde de consum din cauza manevrelor de echilibrare hidraulică a rețelei termice,2022-10-03T06:00:01,2022-10-03T22:00:01
b6caadaafd47,Funcționare deficitară a apei calde de consum din cauza manevrelor de echilibrare hidraulică a rețelei termice,2022-10-03T06:00:01,2022-10-03T22:00:01
53b17d59c482,Funcționare deficitară a apei calde de consum din cauza manevrelor de echilibrare hidraulică a rețelei termice,2022-10-03T06:00:01,2022-10-03T22:00:01
bcb5c19cf8d2,Remediere avarie rețea secundară pe circuitul de apă caldă de consum la bl.C1,2022-10-03T09:00:01,2022-10-03T14:00:01
480b36bb81bf,Mentenanță pentru schimbătoarele de căldură în punctul termic pe circuitul de apă caldă de consum,2022-10-03T09:00:01,2022-10-03T13:00:01
3a2af8a0b68e,Mentenanță pentru schimbătoarele de căldură în punctul termic pe circuitul de apă caldă de consum,2022-10-03T09:00:01,2022-10-03T10:00:01
3a2af8a0b68e,Remediere avarie circuit primar,2022-10-03T11:00:01,2022-10-04T10:00:01
3a2af8a0b68e,Remediere avarie circuit primar - Zona Piata Delfinului,2022-10-04T11:00:01,2022-10-06T17:00:01
9b20e11b0c49,Funcționare deficitară a apei calde de consum din cauza manevrelor de echilibrare hidraulică a rețelei termice,2022-10-03T10:00:01,2022-10-03T10:00:01
934ee6e88ca8,Remediere avarie rețea secundară pe circuitul de apă caldă de consum bl 21B,2022-10-03T10:00:01,2022-10-03T12:00:01
236d88d70e2f,Remediere avarie circuit primar - (str. Calea Grivitei),2022-10-03T10:00:01,2022-10-03T14:00:01
236d88d70e2f,Lucrari pentru remedierea unor avarii aparute pe Conducta Magistrala DN 500 retea primara- (str. Calea Grivitei),2022-10-03T15:00:01,2022-10-06T02:00:01
1931fd7496fe,Remediere avarie circuit primar - (str. Calea Grivitei),2022-10-03T10:00:01,2022-10-03T14:00:01
1931fd7496fe,Lucrari pentru remedierea unor avarii aparute pe Conducta Magistrala DN 500 retea primara- (str. Calea Grivitei),2022-10-03T15:00:01,2022-10-06T02:00:01
262ed702f572,Remediere avarie circuit primar - (str. Calea Grivitei),2022-10-03T10:00:01,2022-10-03T14:00:01
262ed702f572,Lucrari pentru remedierea unor avarii aparute pe Conducta Magistrala DN 500 retea primara- (str. Calea Grivitei),2022-10-03T15:00:01,2022-10-06T02:00:01
5a7e3184d291,Remediere avarie circuit primar - (str. Calea Grivitei),2022-10-03T10:00:01,2022-10-03T14:00:01
5a7e3184d291,Lucrari pentru remedierea unor avarii aparute pe Conducta Magistrala DN 500 retea primara- (str. Calea Grivitei),2022-10-03T15:00:01,2022-10-06T02:00:01
523511f7440d,Remediere avarie circuit primar - (str. Calea Grivitei),2022-10-03T10:00:01,2022-10-03T14:00:01
523511f7440d,Lucrari pentru remedierea unor avarii aparute pe Conducta Magistrala DN 500 retea primara- (str. Calea Grivitei),2022-10-03T15:00:01,2022-10-06T02:00:01
7960ba99fdf0,Remediere avarie circuit primar - (str. Calea Grivitei),2022-10-03T10:00:01,2022-10-03T14:00:01
7960ba99fdf0,Lucrari pentru remedierea unor avarii aparute pe Conducta Magistrala DN 500 retea primara- (str. Calea Grivitei),2022-10-03T15:00:01,2022-10-06T02:00:01
d4e516e8ef16,Remediere avarie circuit primar - (str. Calea Grivitei),2022-10-03T10:00:01,2022-10-03T14:00:01
d4e516e8ef16,Lucrari pentru remedierea unor avarii aparute pe Conducta Magistrala DN 500 retea primara- (str. Calea Grivitei),2022-10-03T15:00:01,2022-10-06T02:00:01
83e22f286869,Remediere avarie circuit primar - (str. Calea Grivitei),2022-10-03T10:00:01,2022-10-03T14:00:01
83e22f286869,Lucrari pentru remedierea unor avarii aparute pe Conducta Magistrala DN 500 retea primara- (str. Calea Grivitei),2022-10-03T15:00:01,2022-10-06T02:00:01
1fbefe43068f,Remediere avarie circuit primar - (str. Calea Grivitei),2022-10-03T10:00:01,2022-10-03T14:00:01
1fbefe43068f,Lucrari pentru remedierea unor avarii aparute pe Conducta Magistrala DN 500 retea primara- (str. Calea Grivitei),2022-10-03T15:00:01,2022-10-06T02:00:01
b18f00270075,Remediere avarie circuit primar - (str. Calea Grivitei),2022-10-03T10:00:01,2022-10-03T14:00:01
b18f00270075,Lucrari pentru remedierea unor avarii aparute pe Conducta Magistrala DN 500 retea primara- (str. Calea Grivitei),2022-10-03T15:00:01,2022-10-06T02:00:01
b1e53ee6bc32,Remediere avarie circuit primar - (str. Calea Grivitei),2022-10-03T10:00:01,2022-10-03T14:00:01
b1e53ee6bc32,Lucrari pentru remedierea unor avarii aparute pe Conducta Magistrala DN 500 retea primara- (str. Calea Grivitei),2022-10-03T15:00:01,2022-10-06T02:00:01
7e3bb23e0848,Remediere avarie circuit primar - (str. Calea Grivitei),2022-10-03T10:00:01,2022-10-03T14:00:01
7e3bb23e0848,Lucrari pentru remedierea unor avarii aparute pe Conducta Magistrala DN 500 retea primara- (str. Calea Grivitei),2022-10-03T15:00:01,2022-10-06T02:00:01
1b45eafd5b2c,Remediere avarie circuit primar - (str. Calea Grivitei),2022-10-03T10:00:01,2022-10-03T14:00:01
1b45eafd5b2c,Lucrari pentru remedierea unor avarii aparute pe Conducta Magistrala DN 500 retea primara- (str. Calea Grivitei),2022-10-03T15:00:01,2022-10-06T02:00:01
f543f4ec827f,Remediere avarie circuit primar - (str. Calea Grivitei),2022-10-03T10:00:01,2022-10-03T14:00:01
f543f4ec827f,Lucrari pentru remedierea unor avarii aparute pe Conducta Magistrala DN 500 retea primara- (str. Calea Grivitei),2022-10-03T15:00:01,2022-10-06T02:00:01
d473a839cef1,Remediere avarie circuit primar - (str. Calea Grivitei),2022-10-03T10:00:01,2022-10-03T14:00:01
d473a839cef1,Lucrari pentru remedierea unor avarii aparute pe Conducta Magistrala DN 500 retea primara- (str. Calea Grivitei),2022-10-03T15:00:01,2022-10-06T02:00:01
3f8b6fe32727,Remediere avarie circuit primar - (str. Calea Grivitei),2022-10-03T10:00:01,2022-10-03T14:00:01
3f8b6fe32727,Lucrari pentru remedierea unor avarii aparute pe Conducta Magistrala DN 500 retea primara- (str. Calea Grivitei),2022-10-03T15:00:01,2022-10-06T02:00:01
2f5c5e28c97d,Remediere avarie circuit primar - (str. Calea Grivitei),2022-10-03T10:00:01,2022-10-03T14:00:01
2f5c5e28c97d,Lucrari pentru remedierea unor avarii aparute pe Conducta Magistrala DN 500 retea primara- (str. Calea Grivitei),2022-10-03T15:00:01,2022-10-06T02:00:01
38facbc68c17,Remediere avarie circuit primar - (str. Calea Grivitei),2022-10-03T10:00:01,2022-10-03T14:00:01
38facbc68c17,Lucrari pentru remedierea unor avarii aparute pe Conducta Magistrala DN 500 retea primara- (str. Calea Grivitei),2022-10-03T15:00:01,2022-10-06T02:00:01
dfc2b04bb0c7,Remediere avarie circuit primar - (str. Calea Grivitei),2022-10-03T10:00:01,2022-10-03T14:00:01
dfc2b04bb0c7,Lucrari pentru remedierea unor avarii aparute pe Conducta Magistrala DN 500 retea primara- (str. Calea Grivitei),2022-10-03T15:00:01,2022-10-06T02:00:01
b35cf17eab44,Remediere avarie circuit primar - (str. Calea Grivitei),2022-10-03T10:00:01,2022-10-03T14:00:01
b35cf17eab44,Lucrari pentru remedierea unor avarii aparute pe Conducta Magistrala DN 500 retea primara- (str. Calea Grivitei),2022-10-03T15:00:01,2022-10-06T02:00:01
8ff9f8fb80ee,Remediere avarie circuit primar - (str. Calea Grivitei),2022-10-03T10:00:01,2022-10-03T14:00:01
8ff9f8fb80ee,Lucrari pentru remedierea unor avarii aparute pe Conducta Magistrala DN 500 retea primara- (str. Calea Grivitei),2022-10-03T15:00:01,2022-10-06T02:00:01
fe00b5c2ed05,Remediere avarie circuit primar - (str. Calea Grivitei),2022-10-03T10:00:01,2022-10-03T14:00:01
fe00b5c2ed05,Lucrari pentru remedierea unor avarii aparute pe Conducta Magistrala DN 500 retea primara- (str. Calea Grivitei),2022-10-03T15:00:01,2022-10-06T02:00:01
c0bd7703ac56,Remediere avarie circuit primar - (str. Calea Grivitei),2022-10-03T10:00:01,2022-10-03T14:00:01
c0bd7703ac56,Lucrari pentru remedierea unor avarii aparute pe Conducta Magistrala DN 500 retea primara- (str. Calea Grivitei),2022-10-03T15:00:01,2022-10-06T02:00:01
e03cd8f3555e,Remediere avarie circuit primar - (str. Calea Grivitei),2022-10-03T10:00:01,2022-10-03T14:00:01
e03cd8f3555e,Lucrari pentru remedierea unor avarii aparute pe Conducta Magistrala DN 500 retea primara- (str. Calea Grivitei),2022-10-03T15:00:01,2022-10-06T02:00:01
ecc9cfd25ae8,Remediere avarie circuit primar - (str. Calea Grivitei),2022-10-03T10:00:01,2022-10-03T14:00:01
ecc9cfd25ae8,Lucrari pentru remedierea unor avarii aparute pe Conducta Magistrala DN 500 retea primara- (str. Calea Grivitei),2022-10-03T15:00:01,2022-10-06T02:00:01
7e02e248cc0a,Remediere avarie circuit primar - (str. Calea Grivitei),2022-10-03T10:00:01,2022-10-03T14:00:01
7e02e248cc0a,Lucrari pentru remedierea unor avarii aparute pe Conducta Magistrala DN 500 retea primara- (str. Calea Grivitei),2022-10-03T15:00:01,2022-10-06T02:00:01
